multipole_ell,TT,EE,BB,PP
ell0107,2.9206900000e+03,8.7606200000e-01,3.6674600000e-03,9.7258600000e-08
ell0108,2.9532400000e+03,8.8947000000e-01,3.7377000000e-03,9.6658600000e-08
ell0109,2.9859500000e+03,9.0258000000e-01,3.8086700000e-03,9.6062600000e-08
ell0110,3.0187400000e+03,9.1539300000e-01,3.8804000000e-03,9.5470600000e-08
ell0111,3.0516900000e+03,9.2798300000e-01,3.9528900000e-03,9.4882700000e-08
ell0112,3.0848000000e+03,9.4027500000e-01,4.0261400000e-03,9.4298900000e-08
ell0113,3.1181400000e+03,9.5226800000e-01,4.1001500000e-03,9.3719200000e-08
ell0114,3.1515600000e+03,9.6388900000e-01,4.1749300000e-03,9.3143600000e-08
ell0115,3.1852100000e+03,9.7528500000e-01,4.2504900000e-03,9.2572100000e-08
ell0116,3.2188700000e+03,9.8623300000e-01,4.3268200000e-03,9.2004600000e-08
ell0117,3.2528300000e+03,9.9680700000e-01,4.4039400000e-03,9.1441200000e-08
ell0118,3.2869500000e+03,1.0071500000e+00,4.4818400000e-03,9.0881900000e-08
ell0119,3.3210700000e+03,1.0171300000e+00,4.5605400000e-03,9.0326700000e-08
ell0120,3.3553500000e+03,1.0265800000e+00,4.6400300000e-03,8.9775500000e-08
ell0121,3.3896300000e+03,1.0358000000e+00,4.7203300000e-03,8.9228400000e-08
ell0122,3.4239900000e+03,1.0445000000e+00,4.8014400000e-03,8.8685400000e-08
ell0123,3.4584200000e+03,1.0527500000e+00,4.8833600000e-03,8.8146400000e-08
ell0124,3.4929400000e+03,1.0606200000e+00,4.9661000000e-03,8.7611600000e-08
ell0125,3.5274600000e+03,1.0680400000e+00,5.0496700000e-03,8.7080800000e-08
ell0126,3.5620500000e+03,1.0750900000e+00,5.1340700000e-03,8.6554000000e-08
ell0127,3.5966500000e+03,1.0816000000e+00,5.2193100000e-03,8.6031300000e-08
ell0128,3.6312500000e+03,1.0877400000e+00,5.3053900000e-03,8.5512700000e-08
ell0129,3.6659200000e+03,1.0933600000e+00,5.3923200000e-03,8.4998200000e-08
ell0130,3.7006000000e+03,1.0984400000e+00,5.4801100000e-03,8.4487700000e-08
ell0131,3.7352800000e+03,1.1031500000e+00,5.5687700000e-03,8.3981300000e-08
ell0132,3.7700300000e+03,1.1073300000e+00,5.6583000000e-03,8.3478900000e-08
ell0133,3.8047000000e+03,1.1110600000e+00,5.7487000000e-03,8.2980600000e-08
ell0134,3.8393800000e+03,1.1143300000e+00,5.8399900000e-03,8.2486200000e-08
ell0135,3.8740600000e+03,1.1170800000e+00,5.9321700000e-03,8.1995800000e-08
ell0136,3.9086000000e+03,1.1193000000e+00,6.0252400000e-03,8.1509300000e-08
ell0137,3.9431300000e+03,1.1210700000e+00,6.1192200000e-03,8.1026700000e-08
ell0138,3.9775900000e+03,1.1223100000e+00,6.2141200000e-03,8.0548000000e-08
ell0139,4.0118300000e+03,1.1231800000e+00,6.3099300000e-03,8.0073200000e-08
ell0140,4.0461500000e+03,1.1234400000e+00,6.4066700000e-03,7.9602100000e-08
ell0141,4.0802500000e+03,1.1231700000e+00,6.5043500000e-03,7.9134900000e-08
ell0142,4.1143500000e+03,1.1224500000e+00,6.6029600000e-03,7.8671400000e-08
ell0143,4.1483900000e+03,1.1212900000e+00,6.7025200000e-03,7.8211700000e-08
ell0144,4.1822000000e+03,1.1195900000e+00,6.8030300000e-03,7.7755600000e-08
ell0145,4.2158600000e+03,1.1175200000e+00,6.9045000000e-03,7.7303200000e-08
ell0146,4.2496100000e+03,1.1148400000e+00,7.0069400000e-03,7.6854500000e-08
ell0147,4.2829900000e+03,1.1117900000e+00,7.1103500000e-03,7.6409500000e-08
ell0148,4.3162200000e+03,1.1082100000e+00,7.2147400000e-03,7.5968000000e-08
ell0149,4.3493900000e+03,1.1041800000e+00,7.3201200000e-03,7.5530100000e-08
ell0150,4.3822600000e+03,1.0997700000e+00,7.4264800000e-03,7.5095800000e-08
ell0151,4.4149900000e+03,1.0949100000e+00,7.5338400000e-03,7.4664900000e-08
ell0152,4.4474300000e+03,1.0895300000e+00,7.6421900000e-03,7.4237600000e-08
ell0153,4.4797200000e+03,1.0837600000e+00,7.7515500000e-03,7.3813800000e-08
ell0154,4.5117900000e+03,1.0776200000e+00,7.8619300000e-03,7.3393400000e-08
ell0155,4.5436400000e+03,1.0711100000e+00,7.9733100000e-03,7.2976400000e-08
ell0156,4.5751100000e+03,1.0642200000e+00,8.0857100000e-03,7.2562900000e-08
ell0157,4.6065100000e+03,1.0569500000e+00,8.1991300000e-03,7.2152700000e-08
ell0158,4.6376000000e+03,1.0493800000e+00,8.3135700000e-03,7.1745900000e-08
ell0159,4.6683900000e+03,1.0413600000e+00,8.4290300000e-03,7.1342400000e-08
ell0160,4.6989500000e+03,1.0330400000e+00,8.5455300000e-03,7.0942300000e-08
ell0161,4.7292800000e+03,1.0245000000e+00,8.6630500000e-03,7.0545400000e-08
ell0162,4.7593000000e+03,1.0155800000e+00,8.7816000000e-03,7.0151800000e-08
ell0163,4.7891700000e+03,1.0063600000e+00,8.9011800000e-03,6.9761500000e-08
ell0164,4.8185700000e+03,9.9691700000e-01,9.0217900000e-03,6.9374400000e-08
ell0165,4.8478100000e+03,9.8717400000e-01,9.1434300000e-03,6.8990500000e-08
ell0166,4.8767400000e+03,9.7727900000e-01,9.2661000000e-03,6.8609700000e-08
ell0167,4.9054300000e+03,9.6701200000e-01,9.3898100000e-03,6.8232100000e-08
ell0168,4.9336500000e+03,9.5674300000e-01,9.5145300000e-03,6.7857700000e-08
ell0169,4.9615600000e+03,9.4617600000e-01,9.6402900000e-03,6.7486300000e-08
ell0170,4.9891500000e+03,9.3553300000e-01,9.7670600000e-03,6.7118100000e-08
ell0171,5.0162700000e+03,9.2481600000e-01,9.8948600000e-03,6.6752900000e-08
ell0172,5.0429900000e+03,9.1394900000e-01,1.0023700000e-02,6.6390800000e-08
ell0173,5.0692500000e+03,9.0293300000e-01,1.0153500000e-02,6.6031600000e-08
ell0174,5.0951800000e+03,8.9206600000e-01,1.0284300000e-02,6.5675500000e-08
ell0175,5.1207100000e+03,8.8105000000e-01,1.0416200000e-02,6.5322400000e-08
ell0176,5.1456900000e+03,8.7010900000e-01,1.0549000000e-02,6.4972200000e-08
ell0177,5.1702700000e+03,8.5916800000e-01,1.0682800000e-02,6.4625000000e-08
ell0178,5.1943800000e+03,8.4845200000e-01,1.0817700000e-02,6.4280600000e-08
ell0179,5.2180100000e+03,8.3766200000e-01,1.0953500000e-02,6.3939100000e-08
ell0180,5.2413200000e+03,8.2702400000e-01,1.1090200000e-02,6.3600500000e-08
ell0181,5.2640900000e+03,8.1653600000e-01,1.1228000000e-02,6.3264700000e-08
ell0182,5.2863800000e+03,8.0627300000e-01,1.1366700000e-02,6.2931600000e-08
ell0183,5.3081300000e+03,7.9616200000e-01,1.1506300000e-02,6.2601400000e-08
ell0184,5.3294900000e+03,7.8627800000e-01,1.1646900000e-02,6.2273800000e-08
ell0185,5.3503700000e+03,7.7676900000e-01,1.1788500000e-02,6.1949000000e-08
ell0186,5.3704200000e+03,7.6749400000e-01,1.1931000000e-02,6.1626800000e-08
ell0187,5.3902900000e+03,7.5859500000e-01,1.2074400000e-02,6.1307300000e-08
ell0188,5.4096200000e+03,7.5005800000e-01,1.2218700000e-02,6.0990400000e-08
ell0189,5.4283400000e+03,7.4191900000e-01,1.2363900000e-02,6.0676100000e-08
ell0190,5.4468900000e+03,7.3423200000e-01,1.2510000000e-02,6.0364300000e-08
ell0191,5.4645300000e+03,7.2701900000e-01,1.2657000000e-02,6.0055100000e-08
ell0192,5.4817800000e+03,7.2030200000e-01,1.2804900000e-02,5.9748400000e-08
ell0193,5.4984200000e+03,7.1412600000e-01,1.2953600000e-02,5.9444200000e-08
ell0194,5.5146700000e+03,7.0852200000e-01,1.3103200000e-02,5.9142400000e-08
ell0195,5.5303000000e+03,7.0352600000e-01,1.3253600000e-02,5.8843100000e-08
ell0196,5.5453300000e+03,6.9917600000e-01,1.3404900000e-02,5.8546100000e-08
ell0197,5.5599000000e+03,6.9551700000e-01,1.3557000000e-02,5.8251600000e-08
ell0198,5.5739300000e+03,6.9257200000e-01,1.3709900000e-02,5.7959300000e-08
ell0199,5.5874300000e+03,6.9037800000e-01,1.3863600000e-02,5.7669400000e-08
ell0200,5.6004000000e+03,6.8896400000e-01,1.4018100000e-02,5.7381800000e-08
ell0201,5.6127600000e+03,6.8839100000e-01,1.4173400000e-02,5.7096400000e-08
ell0202,5.6245800000e+03,6.8866600000e-01,1.4329500000e-02,5.6813300000e-08
ell0203,5.6358000000e+03,6.8984900000e-01,1.4486300000e-02,5.6532300000e-08
ell0204,5.6463400000e+03,6.9196300000e-01,1.4643900000e-02,5.6253600000e-08
ell0205,5.6563500000e+03,6.9505300000e-01,1.4802200000e-02,5.5977100000e-08
ell0206,5.6656800000e+03,6.9915500000e-01,1.4961200000e-02,5.5702700000e-08
ell0207,5.6744700000e+03,7.0429400000e-01,1.5120900000e-02,5.5430500000e-08
ell0208,5.6825100000e+03,7.1052100000e-01,1.5281400000e-02,5.5160400000e-08
ell0209,5.6899400000e+03,7.1785800000e-01,1.5442500000e-02,5.4892400000e-08
ell0210,5.6967700000e+03,7.2635900000e-01,1.5604300000e-02,5.4626500000e-08
ell0211,5.7029900000e+03,7.3605200000e-01,1.5766700000e-02,5.4362700000e-08
ell0212,5.7084600000e+03,7.4696900000e-01,1.5929800000e-02,5.4101000000e-08
