triad_id,day_A,day_B,day_C,side_AB,side_BC,side_CA,metric_triangle_area,triadic_imbalance,orientation_score,dominant_carrier,rank,classification
T886,2003,2006,2022,1.0421795173806072,4.541749137455795,5.322462373309398,1.6929855822736095,5.1070494905587545,1.0,Solar,1437,LARGE_TRIADIC_STRUCTURE
T2006,2009,2017,2019,3.7399107357463746,0.9419667832161248,3.591529653323521,1.6908076494700537,3.970321249521481,1.0,Solar,1438,LARGE_TRIADIC_STRUCTURE
T283,2000,2019,2023,6.648397217603109,0.6221557527655895,7.026002874809416,1.6886141410861857,11.292996719193903,1.0,Solar,1439,LARGE_TRIADIC_STRUCTURE
T2017,2009,2018,2023,3.55523661401275,0.9842331380080602,3.933854801607886,1.6861972755034935,3.996872945742729,1.0,Solar,1440,LARGE_TRIADIC_STRUCTURE
T2009,2009,2017,2022,3.7399107357463746,0.9038149541457039,3.9294437442756625,1.682580945524891,4.347619749210519,1.0,Solar,1441,LARGE_TRIADIC_STRUCTURE
T868,2003,2005,2023,0.8881030229852249,4.802326695999761,5.395103506186263,1.679532287370037,6.0748622249380855,1.0,Solar,1442,LARGE_TRIADIC_STRUCTURE
T870,2003,2005,2025,0.8881030229852249,4.9734105556311485,5.591143766264122,1.6792647479437917,6.295602673967185,1.0,Solar,1443,LARGE_TRIADIC_STRUCTURE
T2276,2012,2016,2023,1.8798712220068592,2.0790518258501463,3.4434407284250033,1.6787922484316764,1.8317428811687182,1.0,Other Fossil,1444,LARGE_TRIADIC_STRUCTURE
T1167,2004,2011,2013,1.7854780106890713,2.558417007001185,3.9957024372223917,1.6700668562097774,2.2378894689833375,1.0,Nuclear,1445,LARGE_TRIADIC_STRUCTURE
T2286,2012,2017,2025,2.368335676467334,1.7964830073728146,3.7586331774651924,1.6661105705495332,2.0922174949830645,1.0,Other Fossil,1446,LARGE_TRIADIC_STRUCTURE
T265,2000,2017,2018,6.6214748807410775,0.5079445208402903,6.563419843754589,1.6620922421486144,13.035823026080097,1.0,Solar,1447,LARGE_TRIADIC_STRUCTURE
T1444,2005,2019,2024,4.4539282782435725,0.8551861091028136,4.933586739101724,1.654692740291263,5.7690211365542545,1.0,Solar,1448,LARGE_TRIADIC_STRUCTURE
T2226,2011,2020,2025,3.5653341034908967,0.9268641255216772,3.6913922267957644,1.6522314755759626,3.9826681442850074,-1.0,Solar,1449,LARGE_TRIADIC_STRUCTURE
T1124,2004,2008,2015,0.9146944409804972,4.854182795421148,5.509147454123892,1.6478005019949773,6.022937504920679,1.0,Nuclear,1450,LARGE_TRIADIC_STRUCTURE
T1587,2006,2016,2017,4.323341813789085,0.767881969213521,4.298687561622105,1.6477479772218913,5.630216605056025,-1.0,Solar,1451,LARGE_TRIADIC_STRUCTURE
T1328,2005,2009,2013,1.0392933851517998,3.3450179636173205,3.807004836363522,1.6469050252129183,3.663070400286892,-1.0,Nuclear,1452,LARGE_TRIADIC_STRUCTURE
T863,2003,2005,2018,0.8881030229852249,4.373496466640408,4.903680010486001,1.6448690596377993,5.521521584289869,-1.0,Solar,1453,LARGE_TRIADIC_STRUCTURE
T2036,2009,2022,2024,3.9294437442756625,0.8359013335579574,4.041742083854276,1.6415793525430382,4.8351903766571045,1.0,Solar,1454,LARGE_TRIADIC_STRUCTURE
