pair_id,group_A,group_B,metric_distance,higgins_angle,metric_energy_delta,dominant_contrast_carrier,boundary_pressure_delta,rank,classification
P179,2008,2015,4.854182795421148,57.96609434190528,8.458503329478564,Nuclear,229.12437215977047,86,STRONG_DIVERGENCE
P060,2002,2013,4.830937727314136,40.973910002903295,32.48378029231527,Nuclear,2478.3756477915663,87,STRONG_DIVERGENCE
P195,2009,2015,4.810974090610833,59.458922934436295,5.7902950459449265,Nuclear,137.34980414913684,88,STRONG_DIVERGENCE
P133,2005,2023,4.802326695999761,55.18761504090999,24.45282857156063,Solar,606.3275987385123,89,STRONG_DIVERGENCE
P131,2005,2021,4.78243669864322,54.920949843700996,23.472660672013713,Solar,598.9489331326928,90,STRONG_DIVERGENCE
P132,2005,2022,4.75706127321746,54.429119564244886,23.95162675946493,Solar,596.9410013937191,91,STRONG_DIVERGENCE
P036,2001,2012,4.754891856930345,35.94815829014074,37.078189099140474,Nuclear,4098.547315010571,92,STRONG_DIVERGENCE
P154,2006,2025,4.738034984769203,56.57826299819902,23.23327989657045,Solar,502.030252918288,93,STRONG_DIVERGENCE
P107,2004,2017,4.707466774619499,50.03162913377945,23.624542113754813,Solar,709.6981542901992,94,STRONG_DIVERGENCE
P210,2010,2015,4.703078638181932,59.45700700513518,3.9023043350138664,Nuclear,66.25510594699267,95,STRONG_DIVERGENCE
P153,2006,2024,4.694184526525593,55.79654771787239,22.646899025197413,Solar,494.0996100519931,96,STRONG_DIVERGENCE
P149,2006,2020,4.692994132043462,55.66227221749976,20.20680854625634,Solar,461.95740190249705,97,STRONG_DIVERGENCE
P106,2004,2016,4.6895472940969505,49.83046172083219,21.922669082639842,Solar,683.6320150992362,98,STRONG_DIVERGENCE
P109,2004,2019,4.676548897062097,49.189822378890064,25.632923941256898,Solar,742.4246268814254,99,STRONG_DIVERGENCE
P172,2007,2025,4.6107721424738894,57.394863884843616,20.987076578115037,Solar,430.72538278841785,100,STRONG_DIVERGENCE
P108,2004,2018,4.591832399633234,47.90130270744981,25.250587410426,Solar,735.8891868502869,101,STRONG_DIVERGENCE
P152,2006,2023,4.571400036586671,53.54181484839047,22.514819136694435,Solar,481.0976907630523,102,STRONG_DIVERGENCE
P171,2007,2024,4.571150933787926,56.62393152669404,20.400695706741995,Solar,422.794739922123,103,STRONG_DIVERGENCE
P167,2007,2020,4.564756493304473,56.15824415500278,17.96060522780092,Solar,390.65253177262696,104,STRONG_DIVERGENCE
P150,2006,2021,4.5495655657658824,53.26664559824669,21.534651237147518,Solar,473.71902515723275,105,STRONG_DIVERGENCE
P151,2006,2022,4.541749137455795,53.077830200276416,22.013617324598734,Solar,471.7110934182591,106,STRONG_DIVERGENCE
P127,2005,2017,4.50032108168606,50.37361101737494,20.100349113759265,Solar,534.276290612116,107,STRONG_DIVERGENCE
P126,2005,2016,4.488945736814479,50.11655531076138,18.398476082644294,Solar,508.210151421153,108,STRONG_DIVERGENCE
P129,2005,2019,4.4539282782435725,49.48402587103921,22.10873094126135,Solar,567.0027632033422,109,STRONG_DIVERGENCE
P189,2008,2025,4.453591709716883,55.92883484595397,19.93885533853441,Solar,376.882279945315,110,STRONG_DIVERGENCE
P170,2007,2023,4.437371709971709,54.15311205317448,20.268615818239013,Solar,409.79282063318215,111,STRONG_DIVERGENCE
P168,2007,2021,4.416117149090437,53.789979183603094,19.2884479186921,Solar,402.4141550273626,112,STRONG_DIVERGENCE
P188,2008,2024,4.409216639218893,55.09388484800763,19.35247446716137,Solar,368.95163707902014,113,STRONG_DIVERGENCE
P169,2007,2022,4.387720201121629,53.27884795021369,19.767414006143316,Solar,400.40622328838896,114,STRONG_DIVERGENCE
P184,2008,2020,4.385971368815513,54.42753065685421,16.9123839882203,Solar,336.8094289295241,115,STRONG_DIVERGENCE
P128,2005,2018,4.373496466640408,48.23257967987982,21.72639441043045,Solar,560.4673231722037,116,STRONG_DIVERGENCE
P059,2002,2012,4.3587947752611,35.563221886064234,30.312758519419816,Nuclear,2456.401949156913,117,STRONG_DIVERGENCE
P145,2006,2016,4.323341813789085,49.48767284495915,16.460466647778098,Nuclear,382.98024344569296,118,STRONG_DIVERGENCE
P146,2006,2017,4.298687561622105,49.24408654057581,18.16233967889307,Solar,409.04638263665595,119,STRONG_DIVERGENCE
P187,2008,2023,4.274341215832277,52.60819702528561,19.220394578658393,Solar,355.9497177900793,120,STRONG_DIVERGENCE
P185,2008,2021,4.243900853854283,52.12201646421486,18.240226679111476,Solar,348.57105218425977,121,STRONG_DIVERGENCE
P148,2006,2019,4.222745769203566,47.88283455294996,20.170721506395154,Solar,441.77285522788213,122,STRONG_DIVERGENCE
P186,2008,2022,4.217518081133783,51.62552905959068,18.719192766562692,Solar,346.56312044528613,123,STRONG_DIVERGENCE
P082,2003,2013,4.1705482731346395,38.489216115115134,24.118539828444227,Nuclear,1104.3345076211283,124,STRONG_DIVERGENCE
P147,2006,2018,4.155838032706744,46.85700355232124,19.788384975564256,Solar,435.23741519674365,125,STRONG_DIVERGENCE
P163,2007,2016,4.1451363015303,48.96231930700261,14.214263329322678,Nuclear,311.6753733158228,126,STRONG_DIVERGENCE
P164,2007,2017,4.141366487247626,49.11979315487391,15.916136360437653,Solar,337.74151250678585,127,STRONG_DIVERGENCE
P011,2000,2011,4.103149153818554,15.104087130888239,49.04023510210838,Wind,9749.42152466368,128,STRONG_DIVERGENCE
P166,2007,2019,4.086554815976069,48.2422266982839,17.924518187939736,Solar,370.4679850980119,129,STRONG_DIVERGENCE
P205,2009,2025,4.0821333544947755,52.81462402418752,17.270647055000772,Solar,285.1077119346814,130,STRONG_DIVERGENCE
P200,2009,2020,4.061827795599079,52.22440758235893,14.24417570468666,Solar,245.03486091889047,131,STRONG_DIVERGENCE
P224,2011,2015,4.048621571500509,52.43226391455059,1.0791301375249276,Nuclear,19.675820469066196,132,STRONG_DIVERGENCE
P204,2009,2024,4.041742083854276,52.089136043060705,16.684266183627734,Solar,277.1770690683865,133,STRONG_DIVERGENCE
P165,2007,2018,4.004427675556095,46.93793182862163,17.54218165710884,Solar,363.93254506687344,134,STRONG_DIVERGENCE
P103,2004,2013,3.9957024372223917,40.505655982188465,18.391481211530298,Nuclear,670.7877852987675,135,STRONG_DIVERGENCE
P180,2008,2016,3.9671868404063364,47.341992720791694,13.166042089742055,Nuclear,257.83227047272,136,STRONG_DIVERGENCE
P181,2008,2017,3.9570137195954245,47.36860567460363,14.86791512085703,Solar,283.89840966368297,137,STRONG_DIVERGENCE
P203,2009,2023,3.933854801607886,50.1065997858119,16.552186295124756,Solar,264.1751497794457,138,STRONG_DIVERGENCE
P202,2009,2022,3.9294437442756625,50.07577432092699,16.050984483029055,Solar,254.7885524346525,139,STRONG_DIVERGENCE
P201,2009,2021,3.9118832905054544,49.787081515498194,15.572018395577839,Solar,256.79648417362614,140,STRONG_DIVERGENCE
P183,2008,2019,3.910477482639411,46.559602310279615,16.876296948359112,Solar,316.62488225490915,141,STRONG_DIVERGENCE
P220,2010,2025,3.8817478690945872,51.86589201437357,15.382656344069714,Solar,214.01301373253722,142,STRONG_DIVERGENCE
P215,2010,2020,3.8706022300893483,51.31654717863269,12.3561849937556,Solar,173.9401627167463,143,STRONG_DIVERGENCE
P196,2009,2016,3.8488704946890007,48.06042925013742,10.497833806208417,Nuclear,166.05770246208635,144,STRONG_DIVERGENCE
P219,2010,2024,3.8377797877650086,51.05286568356615,14.796275472696674,Solar,206.08237086624234,145,STRONG_DIVERGENCE
P182,2008,2018,3.8237451829455593,45.19258791420686,16.493960417528214,Solar,310.0894422237707,146,STRONG_DIVERGENCE
P010,2000,2010,3.814094089854572,14.205990138138764,46.217060904619444,Wind,9702.842239185753,147,STRONG_DIVERGENCE
P123,2005,2013,3.807004836363522,40.656753166311056,14.867288211534749,Nuclear,495.3659216206843,148,STRONG_DIVERGENCE
P247,2012,2025,3.7586331774651924,54.047364777667205,12.47502289279735,Other Fossil,153.86793790771708,149,STRONG_DIVERGENCE
P217,2010,2022,3.744427978328315,49.358363726097416,14.162993772097995,Solar,183.69385423250833,150,STRONG_DIVERGENCE
P197,2009,2017,3.7399107357463746,46.77196346418824,12.199706837323392,Solar,192.12384165304937,151,STRONG_DIVERGENCE
P218,2010,2023,3.735375288495903,49.16737961770919,14.664195584193694,Solar,193.08045157730152,152,STRONG_DIVERGENCE
P216,2010,2021,3.716032114060053,48.855031665751696,13.684027684646779,Solar,185.70178597148197,153,STRONG_DIVERGENCE
P211,2010,2016,3.715000153243071,47.82360522027372,8.609843095277357,Nuclear,94.96300425994218,154,STRONG_DIVERGENCE
P142,2006,2013,3.69862866794402,40.66347164351315,12.929278776668554,Nuclear,370.13601364522424,155,STRONG_DIVERGENCE
P234,2011,2025,3.6913922267957644,52.62492941477909,12.559482146580775,Solar,167.43372825461074,156,STRONG_DIVERGENCE
P081,2003,2012,3.6816579317087057,32.8008686151636,21.947518055548777,Nuclear,1082.360808986475,157,STRONG_DIVERGENCE
P246,2012,2024,3.6662491439707714,52.174399705125445,11.88864202142431,Other Fossil,145.93729504142217,158,STRONG_DIVERGENCE
P009,2000,2009,3.6644842266666977,14.342953288035877,44.32907019368838,Wind,9631.747540983608,159,STRONG_DIVERGENCE
P233,2011,2024,3.6331376776537128,51.433170106166166,11.973101275207735,Solar,159.50308538831587,160,STRONG_DIVERGENCE
P199,2009,2019,3.591529653323521,44.44174802754476,14.208088664825475,Solar,224.8503142442755,161,STRONG_DIVERGENCE
P212,2010,2017,3.5779881629853034,46.21556202378309,10.311716126392332,Solar,121.0291434509052,162,STRONG_DIVERGENCE
P229,2011,2020,3.5653341034908967,49.644769572831805,9.53301079626666,Solar,127.36087723881982,163,STRONG_DIVERGENCE
P198,2009,2018,3.55523661401275,43.89099713197902,13.825752133994579,Solar,218.31487421313702,164,STRONG_DIVERGENCE
P102,2004,2012,3.523751147404654,34.768766917032835,16.220459438634848,Nuclear,648.8140866641143,165,STRONG_DIVERGENCE
P160,2007,2013,3.495397084288107,39.63191755696948,10.683075458213136,Nuclear,298.83114351535414,166,STRONG_DIVERGENCE
P232,2011,2023,3.4771224760265715,48.536219745836085,11.841021386704755,Solar,146.50116609937504,167,STRONG_DIVERGENCE
P245,2012,2023,3.4434407284250033,48.04042590104114,11.75656213292133,Other Fossil,132.93537575248132,168,STRONG_DIVERGENCE
P280,2015,2025,3.441614244908551,49.550126923252876,11.480352009055848,Nuclear,147.75790778554455,169,STRONG_DIVERGENCE
P230,2011,2021,3.4283383582534754,47.58870942577149,10.86085348715784,Solar,139.1225004935555,170,STRONG_DIVERGENCE
P214,2010,2019,3.402257010208597,43.56104534139272,12.320097953894415,Solar,153.75561604213132,171,STRONG_DIVERGENCE
P259,2013,2025,3.3800149356482057,50.24314031190859,10.3040011199019,Other Fossil,131.89423927306376,172,STRONG_DIVERGENCE
P213,2010,2018,3.3763669251033437,43.160848370975366,11.937761423063519,Solar,147.22017601099284,173,STRONG_DIVERGENCE
P231,2011,2022,3.3754093072761435,46.67719284563316,11.339819574609056,Solar,137.11456875458185,174,STRONG_DIVERGENCE
P193,2009,2013,3.3450179636173205,40.258903218931835,6.9666459350988745,Nuclear,153.21347266161766,175,STRONG_DIVERGENCE
P122,2005,2012,3.3438883652067917,34.8632493687793,12.696266438639299,Nuclear,473.392222986031,176,STRONG_DIVERGENCE
P008,2000,2008,3.3337783927664026,11.987198352572234,41.66086191015474,Wind,9539.972972972975,177,STRONG_DIVERGENCE
P279,2015,2024,3.3317727904522627,47.45655626146049,10.893971137682808,Nuclear,139.82726491924967,178,STRONG_DIVERGENCE
P177,2008,2013,3.3286249550055897,38.195937012228946,9.634854218632512,Nuclear,244.9880406722513,179,STRONG_DIVERGENCE
P035,2001,2011,3.316670075721458,13.423215292201016,36.99372984535705,Wind,4084.9815246636776,180,STRONG_DIVERGENCE
P258,2013,2024,3.2772823581704977,48.20993523672301,9.71762024852886,Other Fossil,123.96359640676886,181,STRONG_DIVERGENCE
P208,2010,2013,3.272569755504447,40.56637161580429,5.0786552241678145,Nuclear,82.11877445947349,182,STRONG_DIVERGENCE
P243,2012,2021,3.271231983813254,44.9453000481155,10.776394233374415,Other Fossil,125.55671014666181,183,STRONG_DIVERGENCE
P141,2006,2012,3.2627694833066228,35.09795080301455,10.758257003773103,Nuclear,348.162315010571,184,STRONG_DIVERGENCE
P242,2012,2020,3.2534935590144776,44.56442106356263,9.448551542483235,Other Fossil,113.79508689192613,185,STRONG_DIVERGENCE
P007,2000,2007,3.2069828410660794,11.08436960511095,40.61264067057412,Wind,9486.129870129871,186,STRONG_DIVERGENCE
P278,2015,2023,3.1175261869093154,43.505655931960504,10.761891249179827,Nuclear,126.82534563030883,187,STRONG_DIVERGENCE
P225,2011,2016,3.1009752340680814,41.315860833850834,5.786668897788418,Nuclear,48.383718782015706,188,STRONG_DIVERGENCE
P226,2011,2017,3.091392993223397,41.577101539703996,7.488541928903393,Solar,74.44985797297872,189,STRONG_DIVERGENCE
P228,2011,2019,3.091028495207535,41.774986686752065,9.496923756405476,Solar,107.17633056420485,190,STRONG_DIVERGENCE
P159,2007,2012,3.0492305416224506,33.8428109965414,8.512053685317685,Nuclear,276.85744488070077,191,STRONG_DIVERGENCE
P257,2013,2023,3.0435336215104765,43.883708953010704,9.58554036002588,Other Fossil,110.96167711782802,192,STRONG_DIVERGENCE
P244,2012,2022,3.043024982742031,40.81943835130514,11.25536032082563,Solar,123.54877840768815,193,STRONG_DIVERGENCE
P241,2012,2019,3.002382836615819,40.410408671528366,9.41246450262205,Other Fossil,93.61054021731115,194,STRONG_DIVERGENCE
P034,2001,2010,2.986067194725397,11.606603778935558,34.17055564786811,Wind,4038.402239185751,195,STRONG_DIVERGENCE
P192,2009,2012,2.977842574239435,35.097827984982935,4.795624162203424,Nuclear,131.23977402696434,196,STRONG_DIVERGENCE
P227,2011,2018,2.9659062253752944,39.7297887885129,9.11458722557458,Solar,100.64089053306637,197,STRONG_DIVERGENCE
P006,2000,2006,2.9546769983850805,9.472038902261263,38.3664373521187,Wind,9414.825000000003,198,STRONG_DIVERGENCE
P207,2010,2012,2.9414285509907923,35.63923305561348,2.907633451272364,Nuclear,60.14507582482017,199,STRONG_DIVERGENCE
P276,2015,2021,2.894212202701694,39.66273540633937,9.781723349632912,Nuclear,119.44668002448931,200,STRONG_DIVERGENCE
P176,2008,2012,2.89254326450632,32.52684888686471,7.4638324457370615,Nuclear,223.01434203759797,201,STRONG_DIVERGENCE
P058,2002,2011,2.8511732482162646,12.58632092152027,30.22829926563639,Wind,2442.8361588100192,202,STRONG_DIVERGENCE
P255,2013,2021,2.850410980208751,40.47294896434226,8.605372460478964,Other Fossil,103.5830115120085,203,STRONG_DIVERGENCE
P033,2001,2009,2.8323073986420306,11.718287795233799,32.28256493693705,Wind,3967.307540983607,204,STRONG_DIVERGENCE
P274,2015,2019,2.8313754808390126,38.7564657941913,8.417793618880548,Nuclear,87.50051009513865,205,STRONG_DIVERGENCE
P005,2000,2005,2.8062626492300504,9.456001404222732,36.428427917252506,Wind,9289.595092024541,206,STRONG_DIVERGENCE
P254,2013,2020,2.801332328715301,39.63169487222027,7.277529769587785,Other Fossil,91.82138825727282,207,STRONG_DIVERGENCE
P275,2015,2020,2.726100368850955,37.011618182673814,8.453880658741733,Nuclear,107.68505676975363,208,STRONG_DIVERGENCE
P240,2012,2018,2.6183039319683643,34.15902349559898,9.030127971791154,Solar,87.07510018617268,209,STRONG_DIVERGENCE
P253,2013,2019,2.6134296941076745,36.52468959251958,7.2414427297266,Other Fossil,71.63684158265784,210,STRONG_DIVERGENCE
P277,2015,2022,2.592308692446754,34.05566310488641,10.260689437084128,Nuclear,117.43874828551564,211,STRONG_DIVERGENCE
P256,2013,2022,2.591301967242404,35.74610400907739,9.08433854793018,Other Fossil,101.57507977303483,212,STRONG_DIVERGENCE
P222,2011,2013,2.558417007001185,32.76984091946628,2.2554810266788756,Nuclear,35.53948898154701,213,STRONG_DIVERGENCE
P057,2002,2010,2.534659010706297,11.061465926258585,27.405125068147452,Wind,2396.2568733320927,214,STRONG_DIVERGENCE
P032,2001,2008,2.5141240240611666,9.601840955679087,29.614356653403412,Wind,3875.5329729729733,215,STRONG_DIVERGENCE
P004,2000,2004,2.5140021713183622,8.739640462255124,32.90423491725696,Wind,9114.173228346459,216,STRONG_DIVERGENCE
P289,2016,2025,2.4734109821889314,38.52247196968855,6.772813248792357,Other Fossil,119.05000947259505,217,STRONG_DIVERGENCE
P273,2015,2018,2.4136531685890628,31.95416289663867,8.035457088049652,Nuclear,80.96507006400017,218,STRONG_DIVERGENCE
P031,2001,2007,2.3866891545367594,8.674282572570684,28.56613541382279,Wind,3821.6898701298705,219,STRONG_DIVERGENCE
P056,2002,2009,2.3758961490100097,10.993696711660386,25.517134357216392,Wind,2325.1621751299485,220,STRONG_DIVERGENCE
P239,2012,2017,2.368335676467334,30.585845624786923,7.404082675119968,Solar,60.88406762608503,221,STRONG_DIVERGENCE
P288,2016,2024,2.3425457252819095,36.13985573206465,6.186432377419317,Other Fossil,111.11936660630016,222,STRONG_DIVERGENCE
P237,2012,2015,2.203489286720278,27.82918923359596,0.9946708837415024,Solar,6.110030122172503,223,STRONG_DIVERGENCE
P221,2011,2012,2.2006349874139537,27.464217909627962,0.08445925378342523,Nuclear,13.565790346893692,224,STRONG_DIVERGENCE
P252,2013,2018,2.1930998027825006,29.680377939138502,6.859106198895704,Other Fossil,65.10140155151936,225,STRONG_DIVERGENCE
P080,2003,2011,2.1882628270047633,10.358216006361578,21.86305880176535,Solar,1068.7950186395813,226,STRONG_DIVERGENCE
P030,2001,2006,2.122300534288911,6.752924736606094,26.31993209536737,Wind,3750.385,227,STRONG_DIVERGENCE
P287,2016,2023,2.0790518258501463,31.286501607289807,6.0543524889163365,Other Fossil,98.11744731735932,228,STRONG_DIVERGENCE
P055,2002,2008,2.03442088067265,8.426061204792813,22.848926073682755,Wind,2233.387607119315,229,STRONG_DIVERGENCE
P003,2000,2003,2.010074242537227,6.684369409707761,27.177176300343028,Wind,8680.626506024098,230,STRONG_DIVERGENCE
P029,2001,2005,1.983975249493856,7.023259622757485,24.381922660501175,Wind,3625.1550920245404,231,STRONG_DIVERGENCE
P079,2003,2010,1.9480131964120808,10.380038017180699,19.039884604276413,Wind,1022.2157331616547,232,STRONG_DIVERGENCE
P272,2015,2017,1.93063116255478,24.805977915154436,6.409411791378465,Nuclear,54.774037503912524,233,STRONG_DIVERGENCE
P054,2002,2007,1.9007211491994762,7.371124626762218,21.80070483410213,Wind,2179.544504276212,234,STRONG_DIVERGENCE
P238,2012,2016,1.8798712220068592,23.681607566868163,5.702209644004993,Solar,34.81792843512201,235,STRONG_DIVERGENCE
P251,2013,2017,1.8688358732494357,24.98671538047374,5.233060902224517,Solar,38.91036899143171,236,STRONG_DIVERGENCE
P285,2016,2021,1.8622864953034757,27.72873163670256,5.0741845893694215,Other Fossil,90.7387817115398,237,STRONG_DIVERGENCE
P297,2017,2025,1.7964830073728146,28.188921837515544,5.070940217677382,Other Fossil,92.98387028163204,238,STRONG_DIVERGENCE
P078,2003,2009,1.78640394851551,10.099307224539748,17.151893893345353,Wind,951.1210349595106,239,STRONG_DIVERGENCE
P101,2004,2011,1.7854780106890713,10.4581161685576,16.136000184851422,Solar,635.2482963172206,240,STRONG_DIVERGENCE
P284,2016,2020,1.7716019370372038,26.48669822919563,3.746341898478242,Other Fossil,78.97715845680412,241,STRONG_DIVERGENCE
P028,2001,2004,1.6848353464869406,6.204039023142057,20.857729660505626,Wind,3449.733228346457,242,STRONG_DIVERGENCE
P283,2016,2019,1.6732057891505538,24.86218040324973,3.7102548586170574,Nuclear,58.79261178218914,243,STRONG_DIVERGENCE
P053,2002,2006,1.6467600484815599,5.693765620346911,19.554501515646713,Wind,2108.239634146342,244,STRONG_DIVERGENCE
P296,2017,2024,1.6428429406365912,25.57137798039005,4.4845593463043425,Other Fossil,85.05322741533715,245,STRONG_DIVERGENCE
P249,2013,2015,1.60958323303599,20.742130008332808,1.176350889153948,Nuclear,15.863668512480814,246,STRONG_DIVERGENCE
P286,2016,2022,1.552954220627981,21.792915783768606,5.553150676820637,Other Fossil,88.73084997256613,247,STRONG_DIVERGENCE
P121,2005,2011,1.5386272695154788,10.569247198558473,12.611807184855873,Solar,459.8264326391373,248,STRONG_DIVERGENCE
P052,2002,2005,1.4961441691235842,5.678279084818649,17.616492080780517,Wind,1983.009726170882,249,STRONG_DIVERGENCE
P100,2004,2010,1.4492146732753048,8.430007610814839,13.312825987362483,Solar,588.6690108392941,250,STRONG_DIVERGENCE
P304,2018,2025,1.4011312891865442,23.044505392891928,3.4448949210061954,Other Fossil,66.79283772154439,251,STRONG_DIVERGENCE
P295,2017,2023,1.3931217899580461,20.925091647802574,4.352479457801362,Nuclear,72.05130812639631,252,STRONG_DIVERGENCE
P077,2003,2008,1.387506005484319,6.529904812604265,14.483685609811715,Wind,859.3464669488769,253,STRONG_DIVERGENCE
P140,2006,2011,1.3558080873933933,9.793075101952766,10.673797749989678,Solar,334.59652466367726,254,STRONG_DIVERGENCE
P271,2015,2016,1.320047814318257,16.25905519478246,4.707538760263491,Nuclear,28.70789831294951,255,STRONG_DIVERGENCE
P002,2000,2002,1.3160568240100783,3.8784429866228143,18.81193583647199,Wind,7306.58536585366,256,STRONG_DIVERGENCE
P250,2013,2016,1.3019704874644575,16.9692839975348,3.531187871109543,Solar,12.844229800468696,257,STRONG_DIVERGENCE
P099,2004,2009,1.2866105406822144,8.090461126514484,11.424835276431423,Solar,517.5743126371499,258,STRONG_DIVERGENCE
P076,2003,2007,1.2707327463322178,5.835839871960663,13.435464370231092,Wind,805.5033641057742,259,STRONG_DIVERGENCE
P303,2018,2024,1.2422139313348002,20.326935118789066,2.858514049633156,Other Fossil,58.8621948552495,260,STRONG_DIVERGENCE
P120,2005,2010,1.2249436735183623,8.77896285921806,9.788632987366935,Other Fossil,413.2471471612108,261,STRONG_DIVERGENCE
P282,2016,2018,1.218207797652662,17.45071914765324,3.3279183277861613,Nuclear,52.25717175105066,262,STRONG_DIVERGENCE
P027,2001,2003,1.2159780071471216,4.770466640730764,15.130671043591697,Wind,3016.186506024096,263,STRONG_DIVERGENCE
P051,2002,2004,1.2061307551078042,5.0095752356567,14.092299080784969,Wind,1807.5878624927986,264,STRONG_DIVERGENCE
P293,2017,2021,1.1402057481905572,16.995553163113883,3.372311558254447,Other Fossil,64.67264252057679,265,STRONG_DIVERGENCE
P158,2007,2011,1.125948113059648,8.616889656233571,8.42759443153426,Solar,263.2916545338071,266,STRONG_DIVERGENCE
P292,2017,2020,1.0424597425921913,16.007805448481484,2.0444688673632676,Other Fossil,52.911019265841105,267,STRONG_DIVERGENCE
P075,2003,2006,1.0421795173806072,4.718948892133286,11.189261051775674,Wind,734.198493975904,268,STRONG_DIVERGENCE
P119,2005,2009,1.0392933851517998,7.850368894030422,7.900642276435875,Other Fossil,342.15244895906665,269,STRONG_DIVERGENCE
P310,2019,2025,1.021866982781259,16.148965785098905,3.0625583901752993,Other Fossil,60.25739769040591,270,STRONG_DIVERGENCE
P302,2018,2023,0.9842331380080602,15.522559957574291,2.7264341611301752,Other Fossil,45.86027556630866,271,MODERATE_DIVERGENCE
P322,2022,2025,0.9602409167782103,17.484535221440893,1.2196625719717193,Other Fossil,30.319159500028917,272,MODERATE_DIVERGENCE
P139,2006,2010,0.9526887089467356,6.500363828968807,7.850623552500739,Solar,288.0172391857508,273,MODERATE_DIVERGENCE
P175,2008,2011,0.9502223954652578,6.88841846565186,7.379373191953636,Solar,209.44855169070428,274,MODERATE_DIVERGENCE
P291,2017,2019,0.9419667832161248,14.340145113482215,2.008381827502083,Nuclear,32.72647259122613,275,MODERATE_DIVERGENCE
