Z,N,A,element,binding_per_A_keV,binding_total_keV,is_stable,x_proton,x_neutron,N_over_Z
42,52,94,Mo,8662.3341,814259.4054,True,0.44680851063829785,0.5531914893617021,1.2380952380952381
43,54,97,Tc,8623.7254,836501.3637999999,False,0.44329896907216493,0.5567010309278351,1.255813953488372
44,54,98,Ru,8620.314,844790.772,True,0.4489795918367347,0.5510204081632653,1.2272727272727273
45,58,103,Rh,8584.1927,884171.8481,True,0.4368932038834951,0.5631067961165048,1.288888888888889
46,58,104,Pd,8584.8485,892824.244,True,0.4423076923076923,0.5576923076923077,1.2608695652173914
47,60,107,Ag,8553.9012,915267.4284,True,0.4392523364485981,0.5607476635514018,1.2765957446808511
48,62,110,Cd,8551.2755,940640.3049999999,True,0.43636363636363634,0.5636363636363636,1.2916666666666667
49,64,113,In,8522.9297,963091.0561,True,0.4336283185840708,0.5663716814159292,1.3061224489795917
50,66,116,Sn,8523.1166,988681.5255999999,True,0.43103448275862066,0.5689655172413793,1.32
51,70,121,Sb,8482.0574,1026328.9454,True,0.4214876033057851,0.5785123966942148,1.3725490196078431
52,70,122,Te,8478.1315,1034332.043,True,0.4262295081967213,0.5737704918032787,1.3461538461538463
53,74,127,I,8445.482,1072576.214,True,0.41732283464566927,0.5826771653543307,1.3962264150943395
54,72,126,Xe,8443.5375,1063885.725,True,0.42857142857142855,0.5714285714285714,1.3333333333333333
55,78,133,Cs,8409.9786,1118527.1538,True,0.41353383458646614,0.5864661654135338,1.4181818181818182
56,76,132,Ba,8409.3747,1110037.4604,True,0.42424242424242425,0.5757575757575758,1.3571428571428572
57,82,139,La,8377.9987,1164541.8193,True,0.41007194244604317,0.5899280575539568,1.4385964912280702
58,80,138,Ce,8377.0408,1156031.6304000001,True,0.42028985507246375,0.5797101449275363,1.3793103448275863
59,82,141,Pr,8353.9852,1177911.9131999998,True,0.41843971631205673,0.5815602836879432,1.3898305084745763
60,82,142,Nd,8346.031,1185136.4020000002,True,0.4225352112676056,0.5774647887323944,1.3666666666666667
61,82,143,Pm,8317.7341,1189435.9763,False,0.42657342657342656,0.5734265734265734,1.3442622950819672
62,82,144,Sm,8303.68,1195729.92,True,0.4305555555555556,0.5694444444444444,1.3225806451612903
63,90,153,Eu,8228.7011,1258991.2683,True,0.4117647058823529,0.5882352941176471,1.4285714285714286
64,90,154,Gd,8224.7996,1266619.1384,True,0.4155844155844156,0.5844155844155844,1.40625
65,94,159,Tb,8188.8025,1302019.5975,True,0.4088050314465409,0.5911949685534591,1.4461538461538461
66,90,156,Dy,8192.4366,1278020.1096,True,0.4230769230769231,0.5769230769230769,1.3636363636363635
67,98,165,Ho,8146.9591,1344248.2515,True,0.40606060606060607,0.593939393939394,1.462686567164179
68,94,162,Er,8152.3959,1320688.1358,True,0.41975308641975306,0.5802469135802469,1.3823529411764706
69,100,169,Tm,8114.4702,1371345.4638,True,0.40828402366863903,0.591715976331361,1.4492753623188406
70,98,168,Yb,8111.887,1362797.016,True,0.4166666666666667,0.5833333333333334,1.4
71,104,175,Lu,8069.1412,1412099.71,True,0.4057142857142857,0.5942857142857143,1.4647887323943662
72,104,176,Hf,8061.3604,1418799.4304,True,0.4090909090909091,0.5909090909090909,1.4444444444444444
73,108,181,Ta,8023.405,1452236.305,True,0.40331491712707185,0.5966850828729282,1.4794520547945205
74,108,182,W,8018.3096,1459332.3472,True,0.4065934065934066,0.5934065934065934,1.4594594594594594
75,110,185,Re,7991.0101,1478336.8685,True,0.40540540540540543,0.5945945945945946,1.4666666666666666
76,112,188,Os,7973.8656,1499086.7328,True,0.40425531914893614,0.5957446808510638,1.4736842105263157
77,114,191,Ir,7948.1144,1518089.8504,True,0.4031413612565445,0.5968586387434555,1.4805194805194806
78,114,192,Pt,7942.4923,1524958.5216,True,0.40625,0.59375,1.4615384615384615
79,118,197,Au,7915.6548,1559383.9956,True,0.4010152284263959,0.5989847715736041,1.4936708860759493
80,116,196,Hg,7914.37,1551216.52,True,0.40816326530612246,0.5918367346938775,1.45
81,122,203,Tl,7886.053,1600868.759,True,0.39901477832512317,0.6009852216748769,1.5061728395061729
82,122,204,Pb,7879.9326,1607506.2504,True,0.4019607843137255,0.5980392156862745,1.4878048780487805
