Z,N,A,element,mass_excess_keV,binding_per_A_keV,binding_per_A_unc_keV,is_stable,halflife_s,primary_decay,isotopic_abundance,binding_total_keV
53,90,143,I,-50790.0,8137.0,1.0,False,0.182,B-,,1163591.0
54,89,143,Xe,-60202.882,8196.8855,0.0326,False,0.511,B-,,1172154.6265
55,88,143,Cs,-67675.519,8243.6707,0.053,False,1.802,B-,,1178844.9101
56,87,143,Ba,-73937.205,8281.9878,0.0472,False,14.5,B-,,1184324.2554000001
57,86,143,La,-78171.467,8306.1271,0.0513,False,852.0,B-,,1187776.1753
58,85,143,Ce,-81606.378,8324.6765,0.0171,False,118940.40000000001,B-,,1190428.7395
59,84,143,Pr,-83068.2,8329.428,0.0127,False,1172448.0,B-,,1191108.204
60,83,143,Nd,-84002.31,8330.4893,0.0088,True,1e+30,IS,12.173,1191259.9699
61,82,143,Pm,-82960.664,8317.7341,0.0206,False,22896000.0,EC,,1189435.9763
62,81,143,Sm,-79517.135,8288.1825,0.0192,False,525.0,B+,,1185210.0975000001
63,80,143,Eu,-74241.311,8245.8177,0.0768,False,155.39999999999998,B+,,1179151.9311
64,79,143,Gd,-68231.311,8198.3188,1.4007,False,39.0,B+,,1172359.5883999998
65,78,143,Tb,-60419.192,8138.2176,0.3583,False,12.0,B+,,1163765.1168
66,77,143,Dy,-52168.949,8075.0527,0.0912,False,5.6,B+,,1154732.5361000001
67,76,143,Ho,-42048.0,7999.0,2.0,False,0.3,B+ ?,,1143857.0
68,75,143,Er,-31160.0,7917.0,3.0,False,0.2,B+ ?,,1132131.0
52,92,144,Te,-36220.0,8040.0,2.0,False,0.093,B-,,1157760.0
53,91,144,I,-45330.0,8098.0,3.0,False,0.094,B-,,1166112.0
54,90,144,Xe,-56872.301,8172.8845,0.0369,False,0.388,B-,,1176895.368
55,89,144,Cs,-63271.362,8211.8894,0.1398,False,0.994,B-,,1182512.0736
56,88,144,Ba,-71767.13,8265.4549,0.0496,False,11.73,B-,,1190225.5056
57,87,144,La,-74849.66,8281.4283,0.0898,False,44.0,B-,,1192525.6752
58,86,144,Ce,-80431.942,8314.7612,0.0197,False,24614150.400000002,B-,,1197325.6128000002
59,85,144,Pr,-80750.588,8311.5411,0.0188,False,1036.8000000000002,B-,,1196861.9184
60,84,144,Nd,-83748.028,8326.9237,0.0087,False,7.227239999999999e+22,IS,23.798,1199077.0128
61,83,144,Pm,-81416.116,8305.2969,0.0202,False,31363200.0,EC,,1195962.7536
62,82,144,Sm,-81965.626,8303.68,0.0101,True,1e+30,IS,3.08,1195729.92
63,81,144,Eu,-75619.175,8254.1744,0.0749,False,10.2,B+,,1188601.1136
64,80,144,Gd,-71759.511,8221.9382,0.1941,False,268.2,B+,,1183959.1008000001
65,79,144,Tb,-62368.188,8151.2877,0.1941,False,1.0,B+,,1173785.4287999999
66,78,144,Dy,-56570.091,8105.5902,0.0498,False,9.1,B+,,1167204.9888
67,77,144,Ho,-44609.521,8017.0977,0.0589,False,0.7000000000000001,B+,,1154462.0688
68,76,144,Er,-36608.0,7956.0,1.0,False,0.4,B+ ?,,1145664.0
69,75,144,Tm,-22159.0,7850.0,3.0,False,2.2999999999999996e-06,p,,1130400.0
52,93,145,Te,-30010.0,7998.0,2.0,False,0.075,B- ?,,1159710.0
53,92,145,I,-41130.0,8069.0,3.0,False,0.0897,B-,,1170005.0
54,91,145,Xe,-51493.337,8135.0877,0.0771,False,0.188,B-,,1179587.7165
55,90,145,Cs,-60054.424,8188.7342,0.0625,False,0.582,B-,,1187366.459
56,89,145,Ba,-67516.183,8234.7991,0.0585,False,4.31,B-,,1194045.8695
57,88,145,La,-72835.325,8266.0873,0.0846,False,24.8,B-,,1198582.6585
58,87,145,Ce,-77067.059,8289.8762,0.2338,False,180.6,B-,,1202032.049
59,86,145,Pr,-79625.99,8302.1285,0.0493,False,21542.4,B-,,1203808.6325
60,85,145,Nd,-81432.004,8309.1883,0.0088,True,1e+30,IS,8.293,1204832.3035
61,84,145,Pm,-81267.506,8302.6583,0.0193,False,558612000.0,EC,,1203885.4534999998
62,83,145,Sm,-80651.407,8293.0139,0.0102,False,29376000.0,EC,,1202487.0155
63,82,145,Eu,-77991.524,8269.2744,0.0211,False,512352.0,B+,,1199044.788
64,81,145,Gd,-72926.626,8228.9485,0.136,False,1380.0,B+,,1193197.5325
65,80,145,Tb,-66399.693,8178.5397,0.7648,False,30.9,B+,,1185888.2565000001
66,79,145,Dy,-58242.607,8116.8884,0.045,False,9.5,B+,,1176948.818
67,78,145,Ho,-49120.113,8048.5792,0.0514,False,2.4,B+,,1167043.984
68,77,145,Er,-39240.0,7975.0,1.0,False,0.9,B+,,1156375.0
69,76,145,Tm,-27583.0,7889.0,1.0,False,3.1699999999999997e-06,p,,1143905.0
53,93,146,I,-35540.0,8031.0,2.0,False,0.094,B-,,1172526.0
54,92,146,Xe,-47954.95,8110.4154,0.1659,False,0.146,B-,,1184120.6484
55,91,146,Cs,-55310.38,8155.4365,0.0198,False,0.32160000000000005,B-,,1190693.729
56,90,146,Ba,-64866.269,8215.5293,0.0121,False,2.15,B-,,1199467.2778
57,89,146,La,-69221.174,8239.9988,0.0115,False,9.9,B-,,1203039.8247999998
58,88,146,Ce,-75625.868,8278.5081,0.1004,False,809.4,B-,,1208662.1826
59,87,146,Pr,-76673.486,8280.325,0.2353,False,1445.4,B-,,1208927.4500000002
60,86,146,Nd,-80925.916,8304.0927,0.0087,True,1e+30,IS,17.189,1212397.5341999999
61,85,146,Pm,-79454.36,8288.655,0.0293,False,174526800.0,EC,,1210143.6300000001
62,84,146,Sm,-80996.36,8293.8581,0.0209,False,2146080000000000.0,A,,1210903.2826
63,83,146,Eu,-77117.603,8261.9327,0.0412,False,398304.0,B+,,1206242.1742
64,82,146,Gd,-76085.823,8249.5072,0.0279,False,4170528.0000000005,EC,,1204428.0512
65,81,146,Tb,-67763.644,8187.1474,0.3073,False,8.0,B+,,1195323.5204
66,80,146,Dy,-62554.928,8146.1128,0.0459,False,33.2,B+,,1189332.4688
67,79,146,Ho,-51238.227,8063.2426,0.0451,False,3.32,B+,,1177233.4196
68,78,146,Er,-44322.019,8010.5127,0.0459,False,1.7,B+,,1169534.8542
69,77,146,Tm,-31055.0,7914.0,1.0,False,0.155,p~100,,1155444.0
53,94,147,I,-31200.0,8001.0,2.0,False,0.06,B- ?,,1176147.0
54,93,147,Xe,-42400.0,8072.0,1.0,False,0.088,B-,,1186584.0
55,92,147,Cs,-51920.073,8131.801,0.057,False,0.2305,B-,,1195374.747
56,91,147,Ba,-60264.036,8183.2405,0.1343,False,0.893,B-,,1202936.3535
57,90,147,La,-66678.397,8221.5536,0.0729,False,4.026,B-,,1208568.3791999999
58,89,147,Ce,-72013.902,8252.5274,0.0584,False,56.4,B-,,1213121.5278
59,88,147,Pr,-75444.093,8270.54,0.1079,False,803.4000000000001,B-,,1215769.3800000001
60,87,147,Nd,-78146.794,8283.6036,0.0087,False,948672.0,B-,,1217689.7292
61,86,147,Pm,-79041.984,8284.3712,0.0088,False,82794504.0,B-,,1217802.5664
62,85,147,Sm,-79266.048,8280.5734,0.0086,False,3.364296e+18,IS,15.0,1217244.2898
63,84,147,Eu,-77544.611,8263.5409,0.0175,False,2082240.0000000002,B+~100,,1214740.5123
64,83,147,Gd,-75356.928,8243.3366,0.0128,False,137016.0,B+,,1211770.4802
65,82,147,Tb,-70742.674,8206.625,0.0551,False,5904.0,B+,,1206373.875
66,81,147,Dy,-64196.047,8156.768,0.0602,False,67.0,B+,,1199044.896
67,80,147,Ho,-55757.101,8094.0381,0.034,False,5.8,B+,,1189823.6007
68,79,147,Er,-46607.814,8026.476,0.2598,False,3.2,B+,,1179891.9719999998
69,78,147,Tm,-35974.407,7948.8178,0.0465,False,0.58,B+,,1168476.2166
54,94,148,Xe,-38650.0,8047.0,2.0,False,0.085,B-,,1190956.0
55,93,148,Cs,-46910.95,8097.5469,0.0881,False,0.15180000000000002,B-,,1198436.9412
56,92,148,Ba,-57544.911,8164.1118,0.0101,False,0.62,B-,,1208288.5463999999
57,91,148,La,-62708.742,8193.7165,0.1315,False,1.414,B-,,1212670.0420000001
58,90,148,Ce,-70398.424,8240.3876,0.0756,False,56.8,B-,,1219577.3648
59,89,148,Pr,-72535.452,8249.5409,0.1016,False,137.4,B-,,1220932.0532
60,88,148,Nd,-77408.066,8277.1778,0.0139,True,1e+30,IS,5.756,1225022.3144
61,87,148,Pm,-76865.877,8268.2283,0.0384,False,463795.2,B-,,1223697.7884000002
62,86,148,Sm,-79336.067,8279.6326,0.0084,False,1.9882799999999998e+23,IS,11.25,1225385.6248
63,85,148,Eu,-76297.482,8253.8155,0.0673,False,4708800.0,B+,,1221564.6940000001
64,84,148,Gd,-76269.419,8248.3398,0.0099,False,2250228000.0,A,,1220754.2904
65,83,148,Tb,-70536.947,8204.3207,0.0842,False,3600.0,B+,,1214239.4636000001
66,82,148,Dy,-67859.397,8180.943,0.0589,False,198.0,B+,,1210779.564
67,81,148,Ho,-57991.166,8108.9797,0.5664,False,2.2,B+,,1200128.9956
68,80,148,Er,-51478.997,8059.6924,0.0692,False,4.6,B+,,1192834.4752
69,79,148,Tm,-38765.034,7968.5011,0.0692,False,0.7000000000000001,B+,,1179338.1628
70,78,148,Yb,-30230.0,7906.0,3.0,False,0.25,B+ ?,,1170088.0
54,95,149,Xe,-33000.0,8009.0,2.0,False,0.05,B- ?,,1193341.0
55,94,149,Cs,-43300.0,8073.0,3.0,False,0.1123,B-,,1202877.0
56,93,149,Ba,-52830.62,8131.8495,0.0169,False,0.34900000000000003,B-,,1211645.5755
57,92,149,La,-60219.921,8176.1915,1.344,False,1.071,B-,,1218252.5335
58,91,149,Ce,-66669.921,8214.2294,0.0688,False,4.94,B-,,1223920.1806
59,90,149,Pr,-71039.373,8238.304,0.0663,False,135.6,B-,,1227507.296
60,89,149,Nd,-74375.535,8255.4437,0.0138,False,6220.8,B-,,1230061.1113
61,88,149,Pm,-76064.404,8261.5277,0.0147,False,191088.0,B-,,1230967.6273
62,87,149,Sm,-77135.898,8263.4683,0.0078,True,1e+30,IS,13.82,1231256.7767
63,86,149,Eu,-76441.317,8253.556,0.0262,False,8043839.999999999,EC,,1229779.844
64,85,149,Gd,-75127.173,8239.4856,0.0222,False,801792.0,B+,,1227683.3544
65,84,149,Tb,-71488.639,8209.8153,0.0244,False,14824.800000000001,B+,,1223262.4797
66,83,149,Dy,-67693.99,8179.0972,0.0616,False,252.0,B+,,1218685.4828
67,82,149,Ho,-61645.854,8133.255,0.0804,False,21.1,B+,,1211854.995
68,81,149,Er,-53741.621,8074.9558,0.1875,False,4.0,B+,,1203168.4142
69,80,149,Tm,-43940.0,8004.0,1.0,False,0.9,B+,,1192596.0
70,79,149,Yb,-33330.0,7927.0,2.0,False,0.7000000000000001,B+,,1181123.0
54,96,150,Xe,-28990.0,7983.0,2.0,False,0.04,B- ?,,1197450.0
55,95,150,Cs,-38170.0,8039.0,3.0,False,0.081,B-,,1205850.0
56,94,150,Ba,-49889.799,8111.8405,0.0379,False,0.258,B-,,1216776.075
57,93,150,La,-56311.147,8149.4339,0.0168,False,0.504,B-,,1222415.085
58,92,150,Ce,-64846.863,8201.123,0.078,False,6.05,B-,,1230168.45
59,91,150,Pr,-68300.509,8218.9316,0.0601,False,6.19,B-,,1232839.74
60,90,150,Nd,-73679.951,8249.5789,0.0075,False,2.93508e+26,IS,5.638,1237436.835
61,89,150,Pm,-73597.336,8243.8125,0.1335,False,9712.8,B-,,1236571.875
62,88,150,Sm,-77051.336,8261.6235,0.0074,True,1e+30,IS,7.37,1239243.525
63,87,150,Eu,-74792.369,8241.3481,0.0415,False,1164564000.0,B+,,1236202.2149999999
64,86,150,Gd,-75764.051,8242.6103,0.0404,False,56492400000000.0,A,,1236391.545
65,85,150,Tb,-71105.789,8206.3396,0.0491,False,12528.0,B+~100,,1230950.94
66,84,150,Dy,-69309.618,8189.1495,0.0288,False,430.2,B+,,1228372.425
67,83,150,Ho,-61945.892,8134.8423,0.0945,False,76.8,B+,,1220226.345
68,82,150,Er,-57831.323,8102.1962,0.1146,False,18.5,B+,,1215329.43
69,81,150,Tm,-46491.0,8021.0,1.0,False,3.0,B+,,1203150.0
70,80,150,Yb,-38830.0,7965.0,2.0,False,0.7000000000000001,B+ ?,,1194750.0
71,79,150,Lu,-24771.0,7866.0,2.0,False,0.045,p~100,,1179900.0
55,96,151,Cs,-34280.0,8013.0,3.0,False,0.059000000000000004,B-,,1209963.0
56,95,151,Ba,-44940.0,8079.0,3.0,False,0.167,B-,,1219929.0
57,94,151,La,-53310.339,8129.0436,2.8839,False,0.465,B-,,1227485.5836
58,93,151,Ce,-61225.058,8176.2779,0.1172,False,1.76,B-,,1234617.9629
59,92,151,Pr,-66779.681,8207.8824,0.0772,False,18.9,B-,,1239390.2424
60,91,151,Nd,-70943.183,8230.2741,0.0075,False,746.4,B-,,1242771.3891
61,90,151,Pm,-73386.26,8241.2723,0.0305,False,102240.0,B-,,1244432.1173
62,89,151,Sm,-74576.48,8243.9735,0.0074,False,2985576000.0,B-,,1244839.9985
63,88,151,Eu,-74653.098,8239.2998,0.0077,False,1.4517599999999998e+26,IS,47.81,1244134.2698000001
64,87,151,Gd,-74188.92,8231.0446,0.0198,False,10704960.0,EC,,1242887.7345999999
65,86,151,Tb,-71623.541,8208.8743,0.0271,False,63392.40000000001,B+,,1239540.0192999998
66,85,151,Dy,-68752.388,8184.6789,0.0215,False,1074.0,B+,,1235886.5139
67,84,151,Ho,-63622.746,8145.5267,0.055,False,35.2,B+,,1229974.5317000002
68,83,151,Er,-58266.29,8104.8723,0.1091,False,23.5,B+,,1223835.7173
69,82,151,Tm,-50771.613,8050.0576,0.1283,False,4.17,B+,,1215558.6976
70,81,151,Yb,-41542.352,7983.7556,1.99,False,1.6,B+,,1205547.0956000001
71,80,151,Lu,-30300.0,7904.0,2.0,False,0.07840000000000001,p,,1193504.0
55,97,152,Cs,-29130.0,7980.0,3.0,False,0.017,B- ?,,1212960.0
56,96,152,Ba,-41610.0,8057.0,3.0,False,0.139,B-,,1224664.0
57,95,152,La,-49290.0,8102.0,2.0,False,0.28700000000000003,B-,,1231504.0
58,94,152,Ce,-58980.0,8161.0,1.0,False,1.42,B-,,1240472.0
59,93,152,Pr,-63758.07,8187.1049,0.122,False,3.57,B-,,1244439.9448
60,92,152,Nd,-70149.663,8224.0078,0.161,False,684.0,B-,,1250049.1856
61,91,152,Pm,-71254.468,8226.1293,0.1704,False,247.20000000000002,B-,,1250371.6536
62,90,152,Sm,-74762.977,8244.0645,0.0067,True,1e+30,IS,26.74,1253097.804
63,89,152,Eu,-72888.5,8226.5854,0.0077,False,426596520.0,B+,,1250440.9808
64,88,152,Gd,-74707.304,8233.4042,0.0066,False,3.40848e+21,IS,0.2,1251477.4384
65,87,152,Tb,-70717.304,8202.0072,0.2632,False,63000.0,B+,,1246705.0944
66,86,152,Dy,-70117.963,8192.9171,0.0302,False,8568.0,EC,,1245323.3992
67,85,152,Ho,-63604.636,8144.9193,0.0824,False,161.8,B+,,1238027.7336
68,84,152,Er,-60500.218,8119.3485,0.0581,False,10.3,A,,1234140.972
69,83,152,Tm,-51720.279,8056.4387,0.3554,False,8.0,B+,,1224578.6824
70,82,152,Yb,-46270.386,8015.4371,0.9849,False,3.03,B+,,1218346.4392
71,81,152,Lu,-33422.0,7926.0,1.0,False,0.65,B+,,1204752.0
56,97,153,Ba,-36470.0,8023.0,3.0,False,0.113,B-,,1227519.0
57,96,153,La,-46060.0,8081.0,2.0,False,0.245,B-,,1236393.0
58,95,153,Ce,-54910.0,8134.0,1.0,False,0.865,B-,,1244502.0
59,94,153,Pr,-61568.49,8172.0371,0.0777,False,4.28,B-,,1250321.6763
60,93,153,Nd,-67330.38,8204.5832,0.018,False,31.6,B-,,1255301.2296
61,92,153,Pm,-70648.003,8221.1536,0.0592,False,315.0,B-,,1257836.5008
62,91,153,Sm,-72560.059,8228.5373,0.0067,False,166624.56,B-,,1258966.2069
63,90,153,Eu,-73367.466,8228.7011,0.0077,True,1e+30,IS,52.19,1258991.2683
64,89,153,Gd,-72882.944,8220.4209,0.0066,False,20787840.0,EC,,1257724.3976999999
65,88,153,Tb,-71313.61,8205.0504,0.0258,False,202176.0,B+,,1255372.7112
66,87,153,Dy,-69143.197,8185.7514,0.0262,False,23040.0,B+,,1252419.9642
67,86,153,Ho,-65012.074,8153.6372,0.0331,False,120.6,B+,,1247506.4916
68,85,153,Er,-60466.682,8118.8154,0.0607,False,37.1,A,,1242178.7562000002
69,84,153,Tm,-53972.61,8071.2571,0.0783,False,1.48,A,,1234902.3363
70,83,153,Yb,-47160.0,8022.0,1.0,False,4.2,B+,,1227366.0
71,82,153,Lu,-38375.462,7959.0882,0.9805,False,0.9,A,,1217740.4946
72,81,153,Hf,-27300.0,7882.0,2.0,False,0.4,B+ ?,,1205946.0
56,98,154,Ba,-32920.0,8001.0,3.0,False,0.053,B-,,1232154.0
57,97,154,La,-41530.0,8051.0,2.0,False,0.161,B-,,1239854.0
58,96,154,Ce,-52220.0,8116.0,1.0,False,0.722,B-,,1249864.0
59,95,154,Pr,-57859.602,8147.2994,0.6494,False,2.3,B-,,1254684.1076
60,94,154,Nd,-65579.602,8192.3491,0.0067,False,25.9,B-,,1261621.7614
61,93,154,Pm,-68266.602,8204.717,0.1625,False,160.8,B-,,1263526.418
62,92,154,Sm,-72455.564,8226.8379,0.0085,True,1e+30,IS,22.74,1266933.0366
63,91,154,Eu,-71738.367,8217.1006,0.0077,False,271163520.0,B-,,1265433.4923999999
64,90,154,Gd,-73706.358,8224.7996,0.0065,True,1e+30,IS,2.18,1266619.1384
65,89,154,Tb,-70156.707,8196.6697,0.2942,False,35978.4,B+,,1262287.1338
66,88,154,Dy,-70394.015,8193.1305,0.0483,False,94680000000000.0,A,,1261742.0969999998
67,87,154,Ho,-64639.378,8150.6825,0.0534,False,705.6,B+,,1255205.105
68,86,154,Er,-62604.974,8132.3919,0.0322,False,223.8,B+~100,,1252388.3525999999
69,85,154,Tm,-54427.142,8074.209,0.0936,False,8.1,A,,1243428.186
70,84,154,Yb,-49932.093,8039.9402,0.1122,False,0.40900000000000003,A,,1238150.7908
71,83,154,Lu,-39667.0,7968.0,1.0,False,1.0,B+ ?,,1227072.0
72,82,154,Hf,-32730.0,7918.0,2.0,False,2.0,B+~100,,1219372.0
57,98,155,La,-37930.0,8028.0,3.0,False,0.101,B-,,1244340.0
58,97,155,Ce,-47780.0,8087.0,2.0,False,0.313,B-,,1253485.0
59,96,155,Pr,-55415.335,8131.0398,0.111,False,1.47,B-,,1260311.169
60,95,155,Nd,-62283.796,8170.305,0.0591,False,8.9,B-,,1266397.2750000001
61,94,155,Pm,-66940.006,8195.2977,0.0304,False,41.5,B-,,1270271.1434999998
62,93,155,Sm,-70191.206,8211.2258,0.0086,False,1330.8,B-,,1272739.999
63,92,155,Eu,-71818.337,8216.676,0.0081,False,149657520.0,B-,,1273584.78
64,91,155,Gd,-72070.298,8213.2541,0.0063,True,1e+30,IS,14.8,1273054.3855
65,90,155,Tb,-71250.439,8202.9173,0.0634,False,459648.0,EC,,1271452.1815
66,89,155,Dy,-69155.939,8184.357,0.0622,False,35640.0,B+,,1268575.335
67,88,155,Ho,-66039.799,8159.2055,0.1127,False,2880.0,B+,,1264676.8525
68,87,155,Er,-62209.172,8129.4444,0.0392,False,318.0,B+,,1260063.882
69,86,155,Tm,-56625.921,8088.376,0.064,False,21.6,B+,,1253698.28
70,85,155,Yb,-50502.614,8043.8234,0.1071,False,1.793,A,,1246792.627
71,84,155,Lu,-42545.056,7987.4369,0.1242,False,0.068,A,,1238052.7195
72,83,155,Hf,-34310.0,7929.0,2.0,False,0.843,B+~100,,1228995.0
73,82,155,Ta,-23988.0,7858.0,2.0,False,0.0032,p,,1217990.0
57,99,156,La,-33050.0,7997.0,3.0,False,0.084,B-,,1247532.0
58,98,156,Ce,-44820.0,8068.0,2.0,False,0.233,B-,,1258608.0
59,97,156,Pr,-51449.307,8105.2337,0.0066,False,0.444,B-,,1264416.4572
60,96,156,Nd,-60202.13,8156.3265,0.0084,False,5.06,B-,,1272386.9340000001
61,95,156,Pm,-64166.847,8176.7263,0.0076,False,27.4,B-,,1275569.3028
62,94,156,Sm,-69360.735,8205.0054,0.0546,False,33840.0,B-,,1279980.8424
63,93,156,Eu,-70082.844,8204.6192,0.0226,False,1312416.0,B-,,1279920.5951999999
64,92,156,Gd,-72535.333,8215.3253,0.0063,True,1e+30,IS,20.47,1281590.7468
65,91,156,Tb,-70091.01,8194.6415,0.0242,False,462239.99999999994,B+~100,,1278364.074
66,90,156,Dy,-70529.386,8192.4366,0.0063,True,1e+30,IS,0.056,1278020.1096
67,89,156,Ho,-65538.403,8155.428,0.2463,False,3360.0,B+,,1272246.768
68,88,156,Er,-64211.683,8141.9084,0.1579,False,1170.0,B+,,1270137.7104
69,87,156,Tm,-56834.417,8089.6032,0.0915,False,83.8,B+~100,,1261978.0991999998
70,86,156,Yb,-53265.538,8061.7107,0.0597,False,26.1,B+,,1257626.8691999998
71,85,156,Lu,-43699.55,7995.3752,0.3469,False,0.494,A,,1247278.5312
72,84,156,Hf,-37819.514,7952.6676,0.9599,False,0.023,A~100,,1240616.1456
73,83,156,Ta,-26001.0,7872.0,2.0,False,0.106,p,,1228032.0
57,100,157,La,-29070.0,7972.0,2.0,False,0.03,B- ?,,1251604.0
58,99,157,Ce,-39930.0,8037.0,3.0,False,0.17500000000000002,B-,,1261809.0
59,98,157,Pr,-48434.806,8085.817,0.0202,False,0.307,B-,,1269473.269
60,97,157,Nd,-56494.117,8132.1671,0.0136,False,1.15,B-,,1276750.2347
61,96,157,Pm,-62297.116,8164.1458,0.0446,False,10.56,B-,,1281770.8906
62,95,157,Sm,-66677.654,8187.0642,0.0282,False,481.79999999999995,B-,,1285369.0794
63,94,157,Eu,-69459.134,8199.7975,0.027,False,54648.0,B-,,1287368.2075
64,93,157,Gd,-70823.896,8203.5072,0.0062,True,1e+30,IS,15.65,1287950.6304
65,92,157,Tb,-70763.848,8198.1416,0.0065,False,2240760000.0,EC,,1287108.2312
66,91,157,Dy,-69424.669,8184.6287,0.0328,False,29304.000000000004,B+,,1284986.7059
67,90,157,Ho,-66832.862,8163.1373,0.1495,False,756.0,B+,,1281612.5561000002
68,89,157,Er,-63413.648,8136.3757,0.1688,False,1119.0,B+,,1277410.9849
69,88,157,Tm,-58709.279,8101.4285,0.178,False,217.79999999999998,B+,,1271924.2745
70,87,157,Yb,-53419.912,8062.7551,0.0695,False,38.6,B+~100,,1265852.5507
71,86,157,Lu,-46439.818,8013.3128,0.0769,False,7.7,B+ ?,,1258090.1095999999
72,85,157,Hf,-38855.0,7960.0,1.0,False,0.115,A,,1249720.0
73,84,157,Ta,-29595.948,7896.0608,0.9557,False,0.0101,A,,1239681.5456
74,83,157,W,-19690.0,7828.0,3.0,False,0.275,B+,,1228996.0
58,100,158,Ce,-36540.0,8015.0,3.0,False,0.099,B-,,1266370.0
59,99,158,Pr,-44150.0,8059.0,2.0,False,0.181,B-,,1273322.0
60,98,158,Nd,-53835.123,8114.9529,0.0083,False,0.81,B-,,1282162.5582
61,97,158,Pm,-59106.143,8143.3622,0.0056,False,4.8,B-,,1286651.2275999999
62,96,158,Sm,-65251.849,8177.3075,0.0303,False,318.0,B-,,1292014.585
63,95,158,Eu,-67270.461,8185.132,0.0129,False,2754.0,B-,,1293250.856
64,94,158,Gd,-70689.969,8201.8229,0.0062,True,1e+30,IS,24.84,1295888.0181999998
65,93,158,Tb,-69470.883,8189.1556,0.008,False,5680800000.0,B+,,1293886.5848
66,92,158,Dy,-70407.152,8190.1298,0.0148,True,1e+30,IS,0.095,1294040.5084
67,91,158,Ho,-66187.396,8158.4709,0.1716,False,678.0,B+~100,,1289038.4022000001
68,90,158,Er,-65303.815,8147.927,0.1596,False,8244.0,EC,,1287372.466
69,89,158,Tm,-58703.2,8101.1994,0.1596,False,238.8,B+,,1279989.5052
70,88,158,Yb,-56009.62,8079.1999,0.0505,False,89.4,B+~100,,1276513.5842
71,87,158,Lu,-47212.2,8018.5685,0.0957,False,10.6,B+,,1266933.823
72,86,158,Hf,-42102.399,7981.2764,0.1107,False,2.85,B+,,1261041.6712
73,85,158,Ta,-31118.0,7907.0,1.0,False,0.049,A~100,,1249306.0
74,84,158,W,-23693.0,7855.0,2.0,False,0.00143,A,,1241090.0
58,101,159,Ce,-31340.0,7983.0,3.0,False,,B- ?,,1269297.0
59,100,159,Pr,-40770.0,8037.0,3.0,False,0.134,B-,,1277883.0
60,99,159,Nd,-49724.007,8088.8224,0.1875,False,0.5,B-,,1286122.7616
61,98,159,Pm,-56554.351,8126.8601,0.0631,False,1.49,B-,,1292170.7559
62,97,159,Sm,-62207.849,8157.4963,0.0373,False,11.37,B-,,1297041.9117
63,96,159,Eu,-66043.386,8176.6987,0.0272,False,1086.0,B-,,1300095.0933
64,95,159,Gd,-68561.857,8187.6177,0.0062,False,66524.4,B-,,1301831.2142999999
65,94,159,Tb,-69532.582,8188.8025,0.0069,True,1e+30,IS,100.0,1302019.5975
66,93,159,Dy,-69167.22,8181.5842,0.0091,False,12476160.0,EC,,1300871.8878000001
67,92,159,Ho,-67329.62,8165.1066,0.0192,False,1982.9999999999998,B+,,1298251.9494
68,91,159,Er,-64561.12,8142.7742,0.0229,False,2160.0,B+,,1294701.0977999999
69,90,159,Tm,-60570.404,8112.7549,0.1758,False,547.8000000000001,B+,,1289928.0291
70,89,159,Yb,-55833.517,8078.0428,0.1106,False,100.19999999999999,B+,,1284408.8052
71,88,159,Lu,-49708.609,8034.6009,0.2369,False,12.1,B+~100,,1277501.5431000001
72,87,159,Hf,-42852.606,7986.561,0.1057,False,5.2,B+,,1269863.199
73,86,159,Ta,-34439.157,7928.7258,0.1238,False,1.04,B+,,1260667.4022000001
74,85,159,W,-25434.0,7867.0,2.0,False,0.008199999999999999,A~100,,1250853.0
75,84,159,Re,-14805.0,7795.0,2.0,False,3.9999999999999996e-05,p ?,,1239405.0
59,101,160,Pr,-36200.0,8009.0,2.0,False,0.17,B-,,1281440.0
60,100,160,Nd,-46724.515,8069.9662,0.2911,False,0.439,B-,,1291194.592
61,99,160,Pm,-52894.639,8103.6398,0.0128,False,0.725,B-,,1296582.368
62,98,160,Sm,-60233.172,8144.6159,0.0122,False,9.6,B-,,1303138.544
63,97,160,Eu,-63493.449,8160.103,0.0057,False,42.6,B-,,1305616.48
64,96,160,Gd,-67942.06,8183.0171,0.007,True,1e+30,IS,21.86,1309282.736
65,95,160,Tb,-67836.474,8177.4676,0.0069,False,6246720.0,B-,,1308394.816
66,94,160,Dy,-69672.425,8184.0526,0.0044,True,1e+30,IS,2.329,1309448.416
67,93,160,Ho,-66382.425,8158.6004,0.0939,False,1536.0,B+,,1305376.064
68,92,160,Er,-66064.176,8151.7217,0.1515,False,102888.0,EC,,1304275.472
69,91,160,Tm,-60301.037,8110.8124,0.2043,False,564.0,B+,,1297729.984
70,90,160,Yb,-58163.227,8092.5614,0.0343,False,288.0,B+,,1294809.824
71,89,160,Lu,-50269.942,8038.3387,0.3551,False,36.1,B+,,1286134.192
72,88,160,Hf,-45938.747,8006.3791,0.0596,False,13.6,B+,,1281020.656
73,87,160,Ta,-35823.7,7938.2704,0.3395,False,1.7,B+ ?,,1270123.264
74,86,160,W,-29329.073,7892.7893,0.9363,False,0.09,A,,1262846.2880000002
75,85,160,Re,-16878.0,7810.0,2.0,False,0.000611,p,,1249600.0
59,102,161,Pr,-32490.0,7986.0,3.0,False,0.09,B- ?,,1285746.0
60,101,161,Nd,-42230.0,8042.0,2.0,False,0.215,B-,,1294762.0
