Z,N,A,element,mass_excess_keV,binding_per_A_keV,binding_per_A_unc_keV,is_stable,halflife_s,primary_decay,isotopic_abundance,binding_total_keV
56,63,119,Ba,-64590.096,8245.9287,1.6829,False,5.4,B+,,981265.5153000001
57,62,119,La,-55020.0,8159.0,3.0,False,1.0,B+ ?,,970921.0
58,61,119,Ce,-43820.0,8058.0,4.0,False,0.2,B+ ?,,958902.0
43,77,120,Tc,-35000.0,8083.0,4.0,False,0.021,B-,,969960.0
44,76,120,Ru,-49720.0,8199.0,3.0,False,0.045,B-,,983880.0
45,75,120,Rh,-58620.0,8266.0,2.0,False,0.1296,B-,,991920.0
46,74,120,Pd,-70279.604,8357.0817,0.0191,False,0.492,B-,,1002849.8040000001
47,73,120,Ag,-75651.512,8395.3281,0.0373,False,1.52,B-,,1007439.3720000001
48,72,120,Cd,-83957.365,8458.024,0.0311,False,50.8,B-,,1014962.8799999999
49,71,120,In,-85727.741,8466.2575,0.3334,False,3.08,B-,,1015950.8999999999
50,70,120,Sn,-91097.741,8504.488,0.0077,True,1e+30,IS,32.58,1020538.5599999999
51,69,120,Sb,-88417.133,8475.63,0.06,False,953.4000000000001,B+,,1017075.5999999999
52,68,120,Te,-89362.16,8476.9857,0.0146,True,1e+30,IS,0.09,1017238.2839999999
53,67,120,I,-83747.16,8423.6745,0.1258,False,4900.2,B+,,1010840.94
54,66,120,Xe,-82172.434,8404.0322,0.0985,False,2760.0,B+,,1008483.864
55,65,120,Cs,-73888.649,8328.4811,0.0831,False,60.4,B+,,999417.7320000001
56,64,120,Ba,-68888.649,8280.2949,2.5014,False,24.0,B+,,993635.388
57,63,120,La,-57570.0,8179.0,2.0,False,2.8,B+,,981480.0
58,62,120,Ce,-49730.0,8108.0,4.0,False,0.25,B+ ?,,972960.0
43,78,121,Tc,-31540.0,8054.0,4.0,False,0.022,B-,,974534.0
44,77,121,Ru,-44620.0,8156.0,3.0,False,0.029,B-,,986876.0
45,76,121,Rh,-56250.134,8245.2397,5.1194,False,0.074,B-,,997674.0037
46,75,121,Pd,-66182.337,8320.8584,0.0277,False,0.29,B-,,1006823.8663999999
47,74,121,Ag,-74402.831,8382.3306,0.1001,False,0.777,B-,,1014262.0025999999
48,73,121,Cd,-81073.837,8430.9972,0.0161,False,13.5,B-,,1020150.6612
49,72,121,In,-85834.593,8463.8767,0.2266,False,23.1,B-,,1024129.0807
50,71,121,Sn,-89196.626,8485.1964,0.0081,False,97308.0,B-,,1026708.7644000001
51,70,121,Sb,-89599.157,8482.0574,0.0207,True,1e+30,IS,57.21,1026328.9454
52,69,121,Te,-88543.111,8466.8641,0.2135,False,1668384.0,B+,,1024490.5561
53,68,121,I,-86245.649,8441.4111,0.039,False,7632.0,B+,,1021410.7431
54,67,121,Xe,-82480.997,8403.8326,0.0847,False,2406.0,B+,,1016863.7446
55,66,121,Cs,-77102.342,8352.9152,0.1181,False,155.0,B+,,1010702.7392
56,65,121,Ba,-70744.847,8293.9083,1.1727,False,29.7,B+,,1003562.9042999999
57,64,121,La,-62190.0,8217.0,2.0,False,5.3,B+,,994257.0
58,63,121,Ce,-52690.0,8132.0,3.0,False,1.1,B+,,983972.0
59,62,121,Pr,-41551.0,8033.0,4.0,False,0.012,p~100,,971993.0
43,79,122,Tc,-26305.0,8011.0,2.0,False,0.013000000000000001,B- ?,,977342.0
44,78,122,Ru,-41780.0,8132.0,4.0,False,0.025,B-,,992104.0
45,77,122,Rh,-51880.0,8208.0,2.0,False,0.051000000000000004,B-,,1001376.0
46,76,122,Pd,-64616.169,8305.9755,0.1603,False,0.193,B-,,1013329.011
47,75,122,Ag,-71106.118,8352.7591,0.313,False,0.529,B-,,1019036.6101999999
48,74,122,Cd,-80612.384,8424.2667,0.0188,False,5.24,B-,,1027760.5374
49,73,122,In,-83571.361,8442.1079,0.4103,False,1.5,B-,,1029937.1638000001
50,72,122,Sn,-89939.953,8487.8968,0.0201,True,1e+30,IS,4.63,1035523.4096
51,71,122,Sb,-88334.205,8468.3222,0.0205,False,235336.32,B-,,1033135.3084000001
52,70,122,Te,-90313.282,8478.1315,0.0111,True,1e+30,IS,2.55,1034332.043
53,69,122,I,-86079.282,8437.0139,0.0425,False,217.79999999999998,B+,,1029315.6958
54,68,122,Xe,-85354.988,8424.6644,0.0911,False,72360.0,EC,,1027809.0567999999
55,67,122,Cs,-78144.769,8359.1515,0.2761,False,21.18,B+,,1019816.483
56,66,122,Ba,-74608.952,8323.7567,0.2291,False,117.0,B+,,1015498.3173999999
57,65,122,La,-64543.0,8235.0,2.0,False,8.6,B+,,1004670.0
58,64,122,Ce,-57874.0,8174.0,3.0,False,2.0,B+ ?,,997228.0
59,63,122,Pr,-44780.0,8060.0,4.0,False,0.5,B+ ?,,983320.0
44,79,123,Ru,-36550.0,8089.0,4.0,False,0.019,B-,,994947.0
45,78,123,Rh,-49190.0,8185.0,3.0,False,0.042,B-,,1006755.0
46,77,123,Pd,-60429.748,8270.0318,6.4182,False,0.108,B-,,1017213.9114000001
47,76,123,Ag,-69568.581,8337.9707,0.2651,False,0.294,B-,,1025570.3961
48,75,123,Cd,-77414.183,8395.3955,0.0219,False,2.1,B-,,1032633.6465
49,74,123,In,-83429.034,8437.9362,0.1612,False,6.17,B-,,1037866.1526
50,73,123,Sn,-87814.683,8467.2313,0.0202,False,11162879.999999998,B-,,1041469.4498999999
51,72,123,Sb,-89222.89,8472.3196,0.011,True,1e+30,IS,42.79,1042095.3108000001
52,71,123,Te,-89170.978,8465.537,0.011,True,1e+30,IS,0.89,1041261.051
53,70,123,I,-87942.588,8449.1896,0.03,False,47603.520000000004,B+,,1039250.3208
54,69,123,Xe,-85248.258,8420.9239,0.0775,False,7488.0,B+,,1035773.6396999999
55,68,123,Cs,-81043.657,8380.3796,0.0985,False,352.8,B+,,1030786.6908
56,67,123,Ba,-75654.963,8330.2086,0.0985,False,162.0,B+,,1024615.6578
57,66,123,La,-68651.0,8267.0,2.0,False,17.0,B+,,1016841.0
58,65,123,Ce,-60286.0,8193.0,2.0,False,3.8,B+,,1007739.0
59,64,123,Pr,-50230.0,8104.0,3.0,False,0.8,B+ ?,,996792.0
44,80,124,Ru,-33590.0,8065.0,5.0,False,0.015,B-,,1000060.0
45,79,124,Rh,-44710.0,8148.0,3.0,False,0.03,B-,,1010352.0
46,78,124,Pd,-58400.0,8252.0,2.0,False,0.088,B-,,1023248.0
47,77,124,Ag,-66229.951,8308.8958,2.0283,False,0.1779,B-,,1030303.0792
48,76,124,Cd,-76699.436,8387.0179,0.021,False,1.25,B-,,1039990.2196000001
49,75,124,In,-80867.778,8414.3243,0.2465,False,3.12,B-,,1043376.2132
50,74,124,Sn,-88231.475,8467.3997,0.0106,True,1e+30,IS,5.79,1049957.5628
51,73,124,Sb,-87619.069,8456.1517,0.011,False,5201280.0,B-,,1048562.8108000001
52,72,124,Te,-90524.142,8473.2705,0.0109,True,1e+30,IS,4.74,1050685.5420000001
53,71,124,I,-87364.555,8441.4807,0.0185,False,360806.4,B+,,1046743.6068
54,70,124,Xe,-87667.405,8437.6138,0.011,True,1e+30,IS,0.095,1046264.1111999999
55,69,124,Cs,-81741.06,8383.5114,0.0738,False,30.9,B+,,1039555.4136
56,68,124,Ba,-79089.786,8355.8209,0.1008,False,660.0,B+,,1036121.7916000001
57,67,124,La,-70258.617,8278.2926,0.457,False,29.21,B+,,1026508.2824000001
58,66,124,Ce,-64916.0,8229.0,2.0,False,9.1,B+,,1020396.0
59,65,124,Pr,-53151.0,8128.0,3.0,False,1.2,B+,,1007872.0
60,64,124,Nd,-44830.0,8054.0,4.0,False,0.5,B+ ?,,998696.0
44,81,125,Ru,-28370.0,8023.0,2.0,False,0.012,B- ?,,1002875.0
45,80,125,Rh,-41830.0,8124.0,4.0,False,0.0265,B-,,1015500.0
46,79,125,Pd,-53960.0,8215.0,3.0,False,0.06,B-,,1026875.0
47,78,125,Ag,-64519.939,8293.3151,3.4652,False,0.16,B-,,1036664.3875
48,77,125,Cd,-73348.09,8357.6815,0.0231,False,0.68,B-,,1044710.1875000001
49,76,125,In,-80412.308,8407.9365,0.0142,False,2.36,B-,,1050992.0625
50,75,125,Sn,-85893.657,8445.5285,0.0106,False,832377.6,B-,,1055691.0625
51,74,125,Sb,-88255.094,8458.1612,0.0201,False,87029856.0,B-,,1057270.1500000001
52,73,125,Te,-89021.794,8458.0361,0.0108,True,1e+30,IS,7.07,1057254.5125
53,72,125,I,-88836.024,8450.2911,0.0108,False,5131468.8,EC,,1056286.3875
54,71,125,Xe,-87199.361,8430.939,0.0113,False,60732.0,B+,,1053867.375
55,70,125,Cs,-84089.742,8399.8033,0.0619,False,2661.0,B+,,1049975.4124999999
56,69,125,Ba,-79668.976,8358.1784,0.0879,False,198.0,B+,,1044772.3
57,68,125,La,-73759.492,8304.6438,0.208,False,64.8,B+,,1038080.475
58,67,125,Ce,-66658.0,8242.0,2.0,False,9.7,B+,,1030250.0
59,66,125,Pr,-58070.0,8167.0,2.0,False,3.3,B+,,1020875.0
60,65,125,Nd,-48070.0,8080.0,3.0,False,0.65,B+,,1010000.0
45,81,126,Rh,-37200.0,8087.0,4.0,False,0.019,B-,,1018962.0
46,80,126,Pd,-51790.0,8197.0,3.0,False,0.048600000000000004,B-,,1032822.0
47,79,126,Ag,-60720.0,8261.0,2.0,False,0.052000000000000005,B-,,1040886.0
48,78,126,Cd,-72255.727,8346.7393,0.0183,False,0.512,B-,,1051689.1517999999
49,77,126,In,-77809.377,8384.6067,0.0333,False,1.53,B-,,1056460.4442
50,76,126,Sn,-86015.135,8443.5227,0.0848,False,7258800000000.0,B-,,1063883.8602
51,75,126,Sb,-86393.135,8440.3136,0.2528,False,1067040.0,B-,,1063479.5136
52,74,126,Te,-90064.168,8463.2397,0.0107,True,1e+30,IS,18.84,1066368.2022
53,73,126,I,-87910.496,8439.9379,0.03,False,1117152.0,B+,,1063432.1754
54,72,126,Xe,-89146.38687,8443.5375,0.0003,True,1e+30,IS,0.089,1063885.725
55,71,126,Cs,-84350.683,8399.2673,0.0822,False,98.39999999999999,B+,,1058307.6798
56,70,126,Ba,-82669.913,8379.7187,0.0992,False,6000.0,B+,,1055844.5562
57,69,126,La,-74973.476,8312.4268,0.7183,False,54.0,B+,,1047365.7767999999
58,68,126,Ce,-70820.565,8273.2581,0.2218,False,51.0,B+,,1042430.5205999999
59,67,126,Pr,-60324.0,8184.0,2.0,False,3.12,B+,,1031184.0
60,66,126,Nd,-53380.0,8122.0,2.0,False,1.0,B+ ?,,1023372.0
61,65,126,Pm,-39750.0,8008.0,4.0,False,0.5,B+ ?,,1009008.0
45,82,127,Rh,-33730.0,8060.0,5.0,False,0.028,B-,,1023620.0
46,81,127,Pd,-47220.0,8160.0,4.0,False,0.038,B-,,1036320.0
47,80,127,Ag,-58650.0,8244.0,2.0,False,0.089,B-,,1046988.0
48,79,127,Cd,-68741.199,8316.8971,0.0488,False,0.48,B-,,1056245.9317
49,78,127,In,-76879.897,8374.8212,0.0788,False,1.086,B-,,1063602.2924000002
50,77,127,Sn,-83469.578,8420.5482,0.0726,False,7560.0,B-,,1069409.6213999998
51,76,127,Sb,-86698.294,8439.811,0.04,False,332640.0,B-,,1071855.997
52,75,127,Te,-88280.497,8446.109,0.0108,False,33660.0,B-,,1072655.843
53,74,127,I,-88983.217,8445.482,0.0285,True,1e+30,IS,100.0,1072576.214
54,73,127,Xe,-88320.883,8434.1066,0.0322,False,3139948.8,EC,,1071131.5381999998
55,72,127,Cs,-86240.027,8411.5617,0.0439,False,22500.0,B+,,1068268.3359
56,71,127,Ba,-82817.955,8378.456,0.0894,False,762.0,B+,,1064063.912
57,70,127,La,-77896.116,8333.5412,0.2047,False,306.0,B+,,1058359.7323999999
58,69,127,Ce,-71979.344,8280.7922,0.2274,False,34.0,B+,,1051660.6094
59,68,127,Pr,-64543.0,8216.0,2.0,False,4.2,B+,,1043432.0
60,67,127,Nd,-55910.0,8142.0,2.0,False,1.8,B+,,1034034.0
61,66,127,Pm,-45310.0,8052.0,3.0,False,1.0,B+ ?,,1022604.0
45,83,128,Rh,-27340.0,8010.0,2.0,False,0.008,B- ?,,1025280.0
46,82,128,Pd,-44390.0,8137.0,4.0,False,0.035,B-,,1041536.0
47,81,128,Ag,-54710.0,8211.0,2.0,False,0.06,B-,,1051008.0
48,80,128,Cd,-67238.245,8303.2367,0.0503,False,0.246,B-,,1062814.2976
49,79,128,In,-74190.117,8351.4361,0.0103,False,0.8160000000000001,B-,,1068983.8208
50,78,128,Sn,-83361.43,8416.9749,0.1381,False,3544.2,B-,,1077372.7872
51,77,128,Sb,-84629.852,8420.7724,0.1468,False,32580.000000000004,B-,,1077858.8672
52,76,128,Te,-88993.794,8448.7536,0.0055,False,7.1009999999999995e+31,IS,31.74,1081440.4608
53,75,128,I,-87738.03,8432.8309,0.0283,False,1499.3999999999999,B-,,1079402.3552
54,74,128,Xe,-89860.53427,8443.3008,0.0003,True,1e+30,IS,1.91,1080742.5024
55,73,128,Cs,-85931.773,8406.4953,0.042,False,218.4,B+,,1076031.3984
56,72,128,Ba,-85369.156,8395.9878,0.0126,False,209952.0,EC,,1074686.4384
57,71,128,La,-78625.439,8337.1904,0.4254,False,310.79999999999995,B+,,1067160.3712
58,70,128,Ce,-75533.925,8306.9259,0.2183,False,235.8,B+,,1063286.5152
59,69,128,Pr,-66330.764,8228.9141,0.2329,False,2.85,B+,,1053301.0048
