Z,N,A,x_proton,x_neutron,B_total_MeV,B_per_A_MeV,B_volume,B_surface,B_coulomb,B_asymmetry,B_pairing,is_stable,is_magic_Z,is_magic_N,is_doubly_magic,N_over_Z,parity
68,94,162,0.41975308641975306,0.5802469135802469,1330.2919106222841,8.211678460631383,2551.5,-528.9687452729191,-594.2214315655748,-98.89629629629628,0.8783837570739557,True,False,False,False,1.3823529411764706,ee
69,100,169,0.40828402366863903,0.591715976331361,1379.492871928369,8.162679715552478,2661.75,-544.0988467385832,-603.3908257117462,-134.7674556213018,0.0,True,False,False,False,1.4492753623188406,eo
70,98,168,0.4166666666666667,0.5833333333333334,1371.9445844315765,8.166336812092718,2646.0,-541.9503779046413,-622.3675933900704,-110.6,0.8625557262880937,True,False,False,False,1.4,ee
71,104,175,0.4057142857142857,0.5942857142857143,1420.1143623761864,8.114939213578207,2756.25,-556.9019023651616,-631.7520209729375,-147.48171428571428,0.0,True,False,False,False,1.4647887323943662,eo
72,104,176,0.4090909090909091,0.5909090909090909,1427.3613423565625,8.110007627025924,2772.0,-559.0214180304258,-648.5690547301976,-137.89090909090908,0.8427242080948493,True,False,False,False,1.4444444444444444,ee
73,108,181,0.40331491712707185,0.5966850828729282,1460.1491481012963,8.067122365200532,2850.75,-569.5594372156476,-660.6408621968685,-160.40055248618785,0.0,True,False,False,False,1.4794520547945205,eo
74,106,180,0.4111111111111111,0.5888888888888889,1453.2998968885847,8.073888316047693,2835.0,-567.4596759435143,-680.2470685008491,-134.82666666666665,0.8333079996149215,True,False,False,False,1.4324324324324325,ee
75,110,185,0.40540540540540543,0.5945945945945946,1486.367306438985,8.034417872643163,2913.75,-577.9201290081462,-692.5301321204361,-156.93243243243242,0.0,True,False,False,False,1.4666666666666666,eo
76,108,184,0.41304347826086957,0.5869565217391305,1478.5595683916,8.035649828215217,2898.0,-575.8356532152125,-712.5333267541805,-131.89565217391305,0.824200534905875,True,False,False,False,1.4210526315789473,ee
77,114,191,0.4031413612565445,0.5968586387434555,1525.5441640044312,7.987142219918488,3008.25,-590.3491113129714,-722.4860440543252,-169.87068062827225,0.0,True,False,False,False,1.4805194805194806,eo
78,112,190,0.4105263157894737,0.5894736842105263,1518.0311050127032,7.989637394803701,2992.5,-588.2867537125472,-742.7974342486884,-144.19578947368421,0.8110824476229931,True,False,False,False,1.435897435897436,ee
79,118,197,0.4010152284263959,0.5989847715736041,1564.1628069126073,7.939912725444707,3102.75,-602.6486015054993,-752.9553428509288,-182.98324873096445,0.0,True,False,False,False,1.4936708860759493,eo
80,116,196,0.40816326530612246,0.5918367346938775,1556.9078817632803,7.943407560016737,3087.0,-600.6074522324672,-773.5730333511914,-156.71020408163267,0.7985714285714286,True,False,False,False,1.45,ee
81,122,203,0.39901477832512317,0.6009852216748769,1602.2379202545385,7.892797636721864,3197.25,-614.8238331807405,-783.9335667617653,-196.25467980295565,0.0,True,False,False,False,1.5061728395061729,eo
82,122,204,0.4019607843137255,0.5980392156862745,1608.8423045978682,7.886481885283668,3213.0,-616.841304949878,-802.2167940780489,-185.88235294117646,0.7827565669716574,True,True,False,False,1.4878048780487805,ee
83,126,209,0.39712918660287083,0.6028708133971292,1639.7826121204232,7.845849818758006,3291.75,-626.8796806162585,-815.4164153972895,-209.6712918660287,0.0,True,False,True,False,1.5180722891566265,eo
84,118,202,0.4158415841584158,0.5841584158415841,1589.009875932928,7.866385524420436,3181.5,-612.8030459130939,-844.8439972386892,-135.62970297029705,0.7866220550084663,False,False,False,False,1.4047619047619047,ee
85,120,205,0.4146341463414634,0.5853658536585366,1607.3121348240902,7.840546999141903,3228.75,-618.8554828729104,-860.9604310834875,-141.6219512195122,0.0,False,False,False,False,1.411764705882353,eo
86,120,206,0.4174757281553398,0.5825242718446602,1611.3855777245944,7.82226008604172,3244.5,-620.8663883559892,-880.0308649245397,-132.99611650485437,0.7789475099780285,False,False,False,False,1.3953488372093024,ee
87,122,209,0.41626794258373206,0.583732057416268,1629.5518981338967,7.796899034133477,3291.75,-626.8796806162585,-896.4069379962563,-138.91148325358853,0.0,False,False,False,False,1.4022988505747127,eo
88,124,212,0.41509433962264153,0.5849056603773585,1649.1141857571076,7.778840498854281,3339.0,-632.8642687181828,-912.9063722092582,-144.88301886792453,0.7678455524731717,False,False,False,False,1.4090909090909092,ee
89,126,215,0.413953488372093,0.586046511627907,1666.9922576804731,7.753452361304526,3386.25,-638.8206930105681,-929.5286772159357,-150.90837209302325,0.0,False,False,True,False,1.4157303370786516,eo
90,128,218,0.41284403669724773,0.5871559633027523,1686.2490364785076,7.7350873232959065,3433.5,-644.7494762886861,-946.2733712778219,-156.98532110091742,0.7572051459330708,False,False,False,False,1.4222222222222223,ee
91,130,221,0.4117647058823529,0.5882352941176471,1703.847129727905,7.709715519130792,3480.75,-650.6511245977322,-963.1399809684806,-163.11176470588234,0.0,False,False,False,False,1.4285714285714286,eo
92,132,224,0.4107142857142857,0.5892857142857143,1722.807112003895,7.6911031785888175,3528.0,-656.5261279891228,-980.1280408924131,-169.28571428571428,0.7469951711452262,False,False,False,False,1.434782608695652,ee
93,132,225,0.41333333333333333,0.5866666666666667,1724.8762180759152,7.666116524781845,3543.75,-658.4786238462355,-1000.1831580778492,-160.212,0.0,False,False,False,False,1.4193548387096775,eo
94,134,228,0.41228070175438597,0.5877192982456141,1743.681453451846,7.6477256730344125,3591.0,-664.3188366683604,-1017.424333993709,-166.31578947368422,0.7404135875993595,False,False,False,False,1.425531914893617,ee
95,136,231,0.41125541125541126,0.5887445887445888,1760.8646212542901,7.62279056820039,3638.25,-670.1334897545088,-1034.7856552249673,-172.46623376623376,0.0,False,False,False,False,1.431578947368421,eo
96,138,234,0.41025641025641024,0.5897435897435898,1779.3796132559269,7.604186381435585,3685.5,-675.9230247658356,-1052.266682980314,-178.66153846153844,0.7308594636149658,False,False,False,False,1.4375,ee
97,140,237,0.4092827004219409,0.5907172995780591,1796.2951443546667,7.579304406559775,3732.75,-681.6878701785668,-1069.8669854667667,-184.89999999999998,0.0,False,False,False,False,1.443298969072165,eo
98,142,240,0.4083333333333333,0.5916666666666667,1814.5270863853927,7.560529526605803,3780.0,-687.4284418392082,-1087.5861376722423,-191.17999999999998,0.7216658968433153,False,False,False,False,1.4489795918367347,ee
99,144,243,0.4074074074074074,0.5925925925925926,1831.1811353515839,7.535724836837794,3827.25,-693.1451434897403,-1105.4237211586758,-197.5,0.0,False,False,False,False,1.4545454545454546,eo
100,144,244,0.4098360655737705,0.5901639344262295,1834.1840320785843,7.5171476724532145,3843.0,-695.0454743614359,-1126.4403180794604,-188.04590163934424,0.7157261588248885,False,False,False,False,1.44,ee
101,146,247,0.4089068825910931,0.5910931174089069,1850.6923178658535,7.492681448849609,3890.25,-700.730957381085,-1144.5251053198633,-194.30161943319837,0.0,False,False,False,False,1.4455445544554455,eo
102,148,250,0.408,0.592,1868.4896763415038,7.473958705366015,3937.5,-706.3934681258486,-1162.7271408174613,-200.5968,0.7070852848136496,False,False,False,False,1.4509803921568627,ee
103,150,253,0.40711462450592883,0.5928853754940712,1884.7405587588808,7.44956742592443,3984.75,-712.033373435669,-1181.0460282797583,-206.93003952569168,0.0,False,False,False,False,1.4563106796116505,eo
104,152,256,0.40625,0.59375,1902.266342769514,7.430727901443414,4032.0,-717.6510300201197,-1199.4813772103662,-213.29999999999998,0.69875,False,False,False,False,1.4615384615384615,ee
105,154,259,0.40540540540540543,0.5945945945945946,1918.2650069960216,7.406428598440238,4079.25,-723.246784853385,-1218.0328027451878,-219.7054054054054,0.0,False,False,False,False,1.4666666666666666,eo
106,156,262,0.40458015267175573,0.5954198473282443,1935.5247634934701,7.387499097303321,4126.5,-728.8209755494499,-1236.6999254958157,-226.14503816793894,0.6907027066746109,False,False,False,False,1.471698113207547,ee
107,156,263,0.4068441064638783,0.5931558935361216,1936.5550144944,7.363327051309506,4142.25,-730.6743041339342,-1258.65680304467,-216.3638783269962,0.0,False,False,False,False,1.4579439252336448,eo
108,158,266,0.40601503759398494,0.5939849624060151,1953.6551423034766,7.344568204148408,4189.5,-736.2202523117817,-1277.56573426403,-222.74436090225564,0.6854897815441918,False,False,False,False,1.462962962962963,ee
109,160,269,0.4052044609665427,0.5947955390334573,1969.2565916015528,7.320656474355215,4236.75,-741.7453896882196,-1296.5892826507481,-229.15873605947954,0.0,False,False,False,False,1.4678899082568808,eo
110,162,272,0.40441176470588236,0.5955882352941176,1986.0948920401086,7.301819456029811,4284.0,-747.2500251559153,-1315.7270875230115,-235.60588235294117,0.6778870719765506,False,False,False,False,1.4727272727272727,ee
111,164,275,0.4036363636363636,0.5963636363636363,2001.452019981069,7.2780073453857055,4331.25,-752.7344596722278,-1334.9787930739756,-242.0847272727273,0.0,False,False,False,False,1.4774774774774775,eo
112,166,278,0.4028776978417266,0.5971223021582733,2018.033252443976,7.259112418863222,4378.5,-758.1989865472611,-1354.3440482453314,-248.59424460431654,0.6705318408847472,False,False,False,False,1.4821428571428572,ee
113,168,281,0.40213523131672596,0.597864768683274,2033.1501497182583,7.2354097854742285,4425.75,-763.6438917184715,-1373.8225066059747,-255.13345195729536,0.0,False,False,False,False,1.4867256637168142,eo
114,170,284,0.4014084507042254,0.5985915492957746,2049.4787222481477,7.216474374113196,4473.0,-769.0694540125913,-1393.4138262354875,-261.7014084507042,0.663410946930364,False,False,False,False,1.4912280701754386,ee
115,172,287,0.40069686411149824,0.5993031358885017,2064.359172448686,7.192889102608662,4520.25,-774.4759453955833,-1413.117669612177,-268.297212543554,0.0,False,False,False,False,1.4956521739130435,eo
116,174,290,0.4,0.6,2080.439177488702,7.173928198236904,4567.5,-779.8636312112924,-1432.9337035054234,-274.92,0.6565122054174384,False,False,False,False,1.5,ee
117,174,291,0.4020618556701031,0.5979381443298969,2080.8028923074435,7.150525403118363,4583.25,-781.655392404939,-1456.182436937102,-264.60927835051547,0.0,False,False,False,False,1.4871794871794872,eo
118,176,294,0.4013605442176871,0.5986394557823129,2096.7206357475625,7.131702842678784,4630.5,-787.0184058679847,-1476.2333973887728,-271.1795918367347,0.6520308410551412,False,False,False,False,1.4915254237288136,ee
