Z,N,A,B_exp_MeV,B_semf_pred_MeV,B_vol,B_surf,B_coul,B_asym,B_pair,B_pair_signed,shell_residual_MeV,is_stable,ln_coul_vol,ln_asym_vol,ln_surf_vol,ratio_exp_semf,ln_exp_semf,N_over_Z,Z_over_N,ln_N_over_Z,ln_Z_over_N,vol_over_coul,coul_over_vol,surf_over_vol,vol_over_surf
49,64,113,963.0910561000001,970.6185095012564,1779.75,416.04371398679706,345.89751102522087,47.190265486725664,1.0517259308528617,0.0,-7.527453401256366,True,-1.6380856637151415,-3.6300405523508177,-1.453437847544383,0.992244683850997,-0.007785545004267595,1.3061224489795917,0.765625,0.26706278524904514,-0.26706278524904525,5.145310224190167,0.19435174098902702,0.23376525578693472,4.277795674270131
50,66,116,988.6815256,995.1828537996661,1827.0,423.3751158203211,357.1766190445605,52.30344827586207,1.03803694040972,1.03803694040972,-6.501328199666091,True,-1.6322001657202516,-3.5533682548637233,-1.4621719716757242,0.993467202359,-0.006554229755613678,1.32,0.7575757575757576,0.27763173659827955,-0.2776317365982795,5.115116451035301,0.19549897046773973,0.23173241150537555,4.315322114432848
51,70,121,1026.3289454,1033.0239698758364,1905.75,435.45530173347197,366.5624639278816,70.70826446280991,1.0163636363636364,0.0,-6.695024475836362,True,-1.6484619704270544,-3.294068449991158,-1.4762387565058497,0.9935190037491182,-0.006502089091556048,1.3725490196078431,0.7285714285714285,0.31666960932503324,-0.31666960932503324,5.198977493710164,0.19234551432658092,0.22849550136873775,4.376453777031856
52,70,122,1034.3320429999999,1041.5394888438693,1921.5,437.85121189107025,380.1805052992583,62.94098360655738,1.0121896407553572,1.0121896407553572,-7.207445843869436,True,-1.6202152561224603,-3.41866389080474,-1.4789822562180215,0.9930800071230426,-0.006944047061754098,1.3461538461538463,0.7428571428571429,0.2972515234679317,-0.2972515234679316,5.054178142268224,0.19785610476151877,0.22786948315954736,4.388477062107654
53,74,127,1072.576214,1078.383980799571,2000.25,449.73409806851043,389.8350707382179,82.29685039370078,0.9920645775272152,0.0,-5.807766799571027,True,-1.6353036975951107,-3.1906946146008934,-1.492370936793133,0.9946143795688945,-0.005400175165858201,1.3962264150943395,0.7162162162162162,0.33377317965204784,-0.3337731796520479,5.131016037659701,0.19489317372239365,0.22483894416623443,4.44762807310041
54,72,126,1063.885725,1071.2860743983038,1984.5,447.3701800880189,405.8968819323472,60.94285714285714,0.9959935615269682,0.9959935615269682,-7.400349398303661,True,-1.587023130269446,-3.483185615241183,-1.4897358769574287,0.9930920884951667,-0.006931881578057127,1.3333333333333333,0.75,0.28768207245178085,-0.2876820724517809,4.889172812938154,0.20453357618158086,0.22543218951273314,4.43592373458945
55,78,133,1118.5271538,1123.0044325190656,2094.75,463.7896966232642,413.6904573238356,94.26541353383458,0.969428945927966,0.0,-4.47727871906568,True,-1.6220714869494648,-3.1010751417157647,-1.5077582840475208,0.9960131246240743,-0.003994844150951162,1.4181818181818182,0.7051282051282052,0.34937564145712086,-0.34937564145712074,5.063568576251292,0.19748917881553196,0.22140575086442973,4.516594515254104
56,76,132,1110.0374603999999,1116.5999327900167,2079.0,461.46201322759424,430.0929662609994,71.81818181818181,0.9730940967923509,0.9730940967923509,-6.562472390016865,True,-1.5756409019314128,-3.3655046151953165,-1.5052425488357264,0.9941228078228346,-0.005894530839586849,1.3571428571428572,0.7368421052631579,0.3053816495511819,-0.3053816495511819,4.833838642081794,0.20687492364646434,0.22196345032592316,4.505246240007694
57,82,139,1164.5418193,1166.9286725362222,2189.25,477.63543157992706,438.121147682412,106.56474820143885,0.9482752233822075,0.0,-2.386853236222123,True,-1.6088188333884277,-3.0225615336555385,-1.5224665523505,0.9979545851495495,-0.0020475095682710963,1.4385964912280702,0.6951219512195121,0.36366797942970297,-0.363667979429703,4.996905562721106,0.20012385414293116,0.21817308739519337,4.5835167478224506
58,80,138,1156.0316304,1161.126353689868,2173.5,475.34185855908675,454.8617534219991,83.12173913043478,0.951704801388281,0.951704801388281,-5.094723289867943,True,-1.564100516279175,-3.263787780728334,-1.5200598030260042,0.9956122576378723,-0.0043973967546542345,1.3793103448275863,0.725,0.32158362412746233,-0.32158362412746233,4.778374931830178,0.20927616904623836,0.21869880771064493,4.572498636220622
59,82,141,1177.9119131999998,1182.1681425886227,2220.75,482.20614895865066,467.45868717613104,88.91702127659573,0.9415258477523683,0.0,-4.256229388622842,True,-1.5582892805026236,-3.2178966660285937,-1.5272285380996589,0.9963996412732771,-0.0036068556169815322,1.3898305084745763,0.7195121951219512,0.3291818033585337,-0.3291818033585337,4.75068719637091,0.2104958627383231,0.21713662004217074,4.605395440924645
60,82,142,1185.1364020000003,1189.7344085269203,2236.5,484.4833969708104,482.4401175707041,80.78028169014084,0.9382047585756984,0.9382047585756984,-4.598006526920017,True,-1.5338106184577325,-3.320934525616446,-1.5295842605073564,0.9961352664141124,-0.003872220966111497,1.3666666666666667,0.7317073170731707,0.31237468504215243,-0.31237468504215243,4.635808504611413,0.2157121026473079,0.21662570846000914,4.616257262856722
61,82,143,1189.4359763,1194.7772742364355,2252.25,486.755305548264,497.62860902648924,73.08881118881118,0.9349185671879274,0.0,-5.341297936435467,False,-1.5098309617350028,-3.4280097022035254,-1.5319234513935718,0.9955294613886517,-0.0044805613516059615,1.3442622950819672,0.7439024390243902,0.2958453830909418,-0.2958453830909419,4.525965668264283,0.22094732335508457,0.216119571783001,4.627068209278469
62,82,144,1195.72992,1201.0532609721508,2268.0,489.0219244187833,513.0231479423991,65.83333333333333,0.9316666666666666,0.9316666666666666,-5.323340972150845,True,-1.4863326980001363,-3.539527369174576,-1.5342463411656029,0.9955677727665115,-0.004442078672601291,1.3225806451612903,0.7560975609756098,0.2795848622191615,-0.27958486221916157,4.420853150771757,0.2262006825142853,0.215618132459781,4.637828871774172
63,90,153,1258.9912683,1268.3913407072532,2409.75,509.1912782644306,519.2438516165513,112.9235294117647,0.9038494293020676,0.0,-9.40007240725322,True,-1.5349046648704945,-3.0605674279067694,-1.5544545484377479,0.9925889809354802,-0.007438617103915243,1.4285714285714286,0.7,0.3566749439387324,-0.35667494393873245,4.640883069674826,0.21547623264510896,0.21130460764163528,4.732504469074156
64,90,154,1266.6191384,1276.1286034911632,2425.5,511.40756675596896,534.830973592882,104.03376623376623,0.9009100737803751,0.9009100737803751,-9.509465091163065,True,-1.5118422079175058,-3.149077445914851,-1.556626108778146,0.99254819219227,-0.007479711234606176,1.40625,0.7111111111111111,0.3409265869705932,-0.3409265869705932,4.535077659594023,0.2205033904732558,0.21084624479734856,4.742792554646319
65,94,159,1302.0195975,1310.5115999318218,2504.25,522.4179434330847,545.9638528615084,125.35660377358491,0.8866316728328851,0.0,-8.492002431821902,True,-1.5231917974888711,-2.9945820615980714,-1.5672766420470134,0.9935200860242186,-0.006500999757072396,1.4461538461538461,0.6914893617021277,0.36890751237436675,-0.3689075123743667,4.5868421267721535,0.21801491578776416,0.2086125360619286,4.79357577870172
66,90,156,1278.0201096,1287.9501473209662,2457.0,515.8258088794536,566.6114678716583,87.5076923076923,0.895116379770437,0.895116379770437,-9.930037720966084,True,-1.4670225455278583,-3.3349696709337397,-1.5609272437234485,0.9922900449667083,-0.007739830394126991,1.3636363636363635,0.7333333333333333,0.31015492830383945,-0.3101549283038396,4.336304750818296,0.23061109803486296,0.20994131415525177,4.763235878672738
67,98,165,1344.2482515,1352.0087131376035,2598.75,535.4792319334185,573.2275094744328,138.03454545454545,0.8703618195725826,0.0,-7.760461637603612,True,-1.5115031515672541,-2.9352818559614255,-1.5796237326071296,0.9942600505734952,-0.0057564862469179495,1.462686567164179,0.6836734693877551,0.38027485927960586,-0.38027485927960586,4.533540273359664,0.22057816622392798,0.20605261450059395,4.853129393304143
68,94,162,1320.6881358,1330.2919106222841,2551.5,528.9687452729191,594.2214315655748,98.89629629629628,0.8783837570739557,0.8783837570739557,-9.603774822284095,True,-1.4571846701933109,-3.250364911552361,-1.5735073530510642,0.9927807011787423,-0.007245484061152289,1.3823529411764706,0.723404255319149,0.3237870770938972,-0.32378707709389715,4.293853880829661,0.2328910176623848,0.20731677259373668,4.823536405130259
69,100,169,1371.3454638,1379.492871928369,2661.75,544.0988467385832,603.3908257117462,134.7674556213018,0.86,0.0,-8.147408128368852,True,-1.4841739579079367,-2.983188338006411,-1.5876081462812939,0.99409391067242,-0.005923599250638584,1.4492753623188406,0.69,0.37106368139083196,-0.37106368139083207,4.411319971363933,0.2266895184415314,0.20441395575789734,4.8920338941259685
70,98,168,1362.797016,1371.9445844315765,2646.0,541.9503779046413,622.3675933900704,110.6,0.8625557262880937,0.8625557262880937,-9.147568431576474,True,-1.4472734403415983,-3.1748842555866665,-1.5856299011080224,0.9933324067638151,-0.006689920939337292,1.4,0.7142857142857143,0.3364722366212129,-0.3364722366212129,4.2515067109890685,0.235210730684078,0.20481873692541244,4.882365817753108
71,104,175,1412.09971,1420.1143623761864,2756.25,556.9019023651616,631.7520209729375,147.48171428571428,0.845128561648632,0.0,-8.014652376186405,True,-1.4731293939245493,-2.927922142044624,-1.5992372326147741,0.9943563331316669,-0.005659652529730548,1.4647887323943662,0.6826923076923077,0.38171102210005725,-0.3817110221000572,4.362866929582913,0.22920708243916102,0.20205057682182734,4.949255853309551
