Country_Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
GBR-2020,38.58,5.7,111.89,6.88,50.24,8.84,1e-15,12.55,75.62
GBR-2021,40.01,6.79,122.84,5.42,46.1,9.68,1e-15,12.13,64.93
GBR-2022,35.85,5.94,125.11,5.66,47.4,11.07,1e-15,13.34,80.21
GBR-2023,34.1,3.78,101.66,5.54,40.6,10.82,1e-15,13.88,82.15
GBR-2024,40.09,1.9,86.3,5.76,40.59,11.45,1e-15,14.79,83.28
GBR-2025,41.21,0.33,90.91,5.55,36.38,12.77,1e-15,19.32,85.84
IND-2000,1.69,390.23,55.96,76.99,15.77,29.16,1e-15,0.01,1.58
IND-2001,2.07,408.29,55.93,72.02,18.89,26.79,1e-15,0.01,2.09
IND-2002,2.14,426.7,62.88,68.54,19.35,27.93,1e-15,0.01,2.09
IND-2003,2.71,441.47,72.8,69.3,18.14,31.09,1e-15,0.02,2.6
IND-2004,3.31,463.01,76.58,100.64,21.26,28.27,1e-15,0.02,5.23
IND-2005,4.04,478.48,75.47,97.42,17.73,25.37,1e-15,0.02,5.99
IND-2006,5.59,505.46,74.7,112.62,17.63,19.08,1e-15,0.01,9.34
IND-2007,7.4,533.27,90.05,122.61,17.83,13.36,1e-15,0.06,11.68
IND-2008,9.3,573.12,85.88,115.17,15.23,15.27,1e-15,0.06,14.38
IND-2009,10.56,611.11,104.37,106.34,16.82,13.08,1e-15,0.08,16.27
IND-2010,13.22,642.97,118.03,108.74,23.08,10.78,1e-15,0.11,19.46
IND-2011,15.46,701.25,117.56,131.7,32.22,9.35,1e-15,0.83,23.95
IND-2012,16.52,787.13,96.25,115.78,33.14,10.07,1e-15,2.1,27.43
IND-2013,17.57,847.97,66.31,131.98,33.31,10.65,1e-15,3.43,30.01
IND-2014,21.14,949.93,64.01,139,34.69,11.55,1e-15,4.91,33.45
IND-2015,18.36,1006.55,64.77,133.48,38.31,9.26,1e-15,7.09,32.74
IND-2016,17.2,1073.6,72.62,128.55,37.9,9.41,1e-15,12.2,43.45
IND-2017,14.99,1115.24,74.99,135.98,37.41,8.79,1e-15,22.36,52.63
IND-2018,18.4,1198.86,71.26,139.92,39.05,6.4,1e-15,37.45,60.31
IND-2019,18.99,1198.76,71.95,162.29,45.16,3.07,1e-15,37.45,63.31
IND-2020,19.88,1143.78,74.79,163.94,44.61,3.09,1e-15,52.91,60.43
IND-2021,21.2,1255.56,60.4,160.57,43.92,3.39,1e-15,65.59,68.09
IND-2022,23.29,1344.42,46.17,175.09,46.19,3.48,1e-15,95.92,70.05
IND-2023,23.01,1445.44,50.8,149.43,48.2,3.85,1e-15,115.42,82.11
IND-2024,22.25,1517.9,56.44,156.53,54.7,4.09,1e-15,143.07,81.54
IND-2025,23.04,1474.15,48.54,177.97,53.83,4.1,1e-15,195.99,103.98
JPN-2000,16.11,238.24,258.5,84.47,319.12,182.78,1e-15,0.34,0.11
JPN-2001,16.03,253.91,256.52,81.54,320.54,153.85,1e-15,0.5,0.25
JPN-2002,16.94,264.42,252.76,80.6,314.26,172.99,1e-15,0.69,0.41
JPN-2003,17.88,292.06,273.1,92.47,230.08,185.22,1e-15,0.95,0.83
JPN-2004,18.05,295.39,257.86,91.67,285.87,169.64,1e-15,1.27,1.44
JPN-2005,21.69,319.2,253.09,77.56,293.04,184.95,1e-15,1.63,1.91
JPN-2006,21.53,311.34,280.04,88.81,304.29,154.21,1e-15,2,2.13
JPN-2007,22.2,317.31,296.85,74.51,279.01,185.18,1e-15,2.31,2.74
JPN-2008,21.29,333.7,324.83,75.16,251.74,171.45,1e-15,2.59,2.94
JPN-2009,20.33,312.08,324.72,70.47,274.65,105.29,1e-15,3.05,3.43
JPN-2010,21.83,316.85,326.09,88.5,292.36,102.5,1e-15,3.98,3.93
JPN-2011,21.11,285.07,379.83,82.49,162.93,162.87,1e-15,5.44,4.46
JPN-2012,22.13,334.3,435.49,77.1,17.99,207.77,1e-15,7.37,4.73
JPN-2013,23.18,362.55,423.58,79.33,14.6,166.48,1e-15,12.91,5.13
JPN-2014,23.63,355.6,450.88,81.71,1e-15,122.34,1e-15,23.55,5.01
JPN-2015,28.49,349.64,417.5,85.77,4.52,104.44,1e-15,34.54,5.22
JPN-2016,23.67,338.59,458.43,79.43,17.68,97.23,1e-15,43.33,5.34
JPN-2017,23.8,363.47,464.13,79.24,29.07,56.89,1e-15,54.04,6.22
JPN-2018,25.75,360.66,445.61,81,49.11,52.21,1e-15,61.22,7.37
JPN-2019,27.6,350.77,416.95,73.92,65.64,37.63,1e-15,67.43,7.46
JPN-2020,30.37,340.25,409.44,78.33,43,25.31,1e-15,75.92,8.41
JPN-2021,34.79,348.26,385.78,79.63,61.22,31.27,1e-15,84.18,9.54
JPN-2022,37.83,350.99,378.84,74.87,51.77,45.78,1e-15,91.07,9.42
JPN-2023,42.01,326.93,346.98,74.53,77.46,32.5,1e-15,96.36,9.96
JPN-2024,45.42,327.13,346.24,79.45,84.91,25,1e-15,96.7,11.54
JPN-2025,54.92,330.08,337.57,73.9,94.09,25.39,1e-15,101.06,12.85
USA-2001,49.75,1903.97,639.12,208.13,768.82,135.58,14.89,1e-15,6.74
USA-2002,53.72,1933.15,691.01,255.57,780.07,103.68,16.12,1e-15,10.36
USA-2003,53.34,1973.72,649.91,267.26,763.72,132.38,16.85,0.53,11.2
USA-2004,53.54,1978.3,710.09,259.92,788.53,129.86,16.95,0.57,14.13
USA-2005,54.28,2012.87,760.98,263.76,781.99,126.12,16.63,0.55,17.83
USA-2006,54.87,1990.52,816.44,282.68,787.23,71.61,16.51,0.49,26.59
USA-2007,55.56,2016.43,896.58,240.62,806.42,75.2,16.71,0.61,34.46
USA-2008,55.03,1985.81,882.97,248.54,806.21,55.42,17.31,0.87,55.36
USA-2009,54.51,1755.91,920.99,268.83,798.85,48.53,17.47,0.89,73.88
USA-2010,56.1,1847.28,987.69,254.7,806.96,47.52,17.84,1.22,94.65
USA-2011,56.66,1733.43,1013.68,312.93,790.2,41.79,18.16,1.82,120.18
USA-2012,57.62,1514.05,1225.9,271.28,769.32,39.07,18.26,4.34,140.82
USA-2013,60.86,1581.11,1124.86,263.88,789.02,40.26,18.76,9.03,167.85
USA-2014,63.99,1581.72,1126.6,253.18,797.16,43.69,19.05,28.93,181.67
USA-2015,63.66,1352.41,1333.5,244,797.18,44.45,19.12,39.04,190.72
USA-2016,62.75,1239.13,1378.3,261.13,805.7,39.52,19.17,54.86,227.01
USA-2017,62.73,1205.84,1296.46,293.84,804.93,37.89,19.07,77.28,254.3
USA-2018,61.83,1149.49,1469.13,286.63,807.08,42.69,18.69,93.36,272.67
USA-2019,57.51,964.95,1585.83,282.59,809.39,37.47,17.88,106.89,295.87
USA-2020,54.71,773.4,1624.15,279.95,789.89,34.33,18.08,130.71,337.94
USA-2021,54.24,898,1579.2,246.48,779.63,35.2,18.26,164.4,378.22
USA-2022,51.85,831.52,1687.07,248.75,771.54,38.63,18.14,205.08,434.3
USA-2023,47.47,675.27,1802.06,233.97,775.35,33,18.61,238.13,425.23
USA-2024,46.26,652.91,1866.51,233.92,781.68,30.17,17.44,301.88,454.05
USA-2025,46,737.42,1809.98,240,784.78,31.84,17.61,387.69,464.51
WLD-2000,154.13,5808.81,2745.57,2629.67,2540.46,1324.32,43.65,1.02,31.15
WLD-2001,149.55,5890.67,2914.78,2563.72,2613.17,1285.24,44.15,1.36,38.19
WLD-2002,162.81,6144.3,3104.81,2611.58,2654.78,1271.84,45.83,1.72,52.22
WLD-2003,176.37,6574.95,3255.5,2611.97,2601.05,1296.25,46.61,2.11,63.2
WLD-2004,192.41,6797.3,3503.08,2802.61,2719.41,1263.66,48.26,2.78,85.48
WLD-2005,212.76,7167.21,3680.54,2911.77,2726.97,1277.89,48.59,3.95,104.4
WLD-2006,226.61,7566.97,3900.59,3018.07,2761.59,1175.78,50.76,5.42,133.2
WLD-2007,249.29,8051.83,4219.27,3062.78,2703.49,1196.05,52.81,7.29,171.15
WLD-2008,266.38,8074.19,4360.99,3245.35,2694.72,1171.72,56.59,11.85,220.85
WLD-2009,286.46,7950.77,4382.35,3241.27,2656.76,1071.16,58.66,19.82,276.26
WLD-2010,327.19,8458,4807.86,3428.21,2725.91,1078.66,59.72,32.21,345.99
WLD-2011,345.27,8911.04,4865.93,3488.07,2610.34,1186.76,61.08,63.56,439.98
WLD-2012,374.02,8960.28,5161.35,3660.17,2432.22,1238.6,62.84,96.92,529.26
WLD-2013,406.47,9423.85,5058.36,3790.79,2448.52,1196.83,64.32,131.75,634.14
WLD-2014,442.68,9603.84,5214.12,3870.67,2498.73,1143.66,69.53,197.74,706.1
WLD-2015,471.79,9283.61,5539.88,3882.13,2532.93,1133.29,73.08,256.01,829.63
WLD-2016,482.08,9327.96,5849.92,4014.75,2571.05,1085.11,75.87,327.47,960.3
WLD-2017,507.39,9655.05,5973.6,4054.03,2594.23,993.83,78.82,444.65,1139.44
WLD-2018,537.74,10033,6224.56,4176.84,2658.7,908.6,81.72,575.16,1268.14
WLD-2019,566,9826.39,6401.31,4227.76,2754.08,855.03,82.95,697.94,1420.96
WLD-2020,601.17,9437.05,6382.94,4347.02,2648.33,775.88,86.12,853.39,1591.47
WLD-2021,655.3,10156.5,6556.63,4288.7,2762.44,842.25,86.33,1053.99,1856.94
WLD-2022,669.2,10240.4,6628.27,4324.07,2639.64,887.42,87.94,1333.12,2107.66
WLD-2023,683.62,10395.9,6699.42,4240.11,2697.74,876.79,88.4,1664.14,2319.18
WLD-2024,703.37,10538.9,6882.73,4433.65,2777.11,853.84,88.44,2142.65,2509.5
WLD-2025,710.41,10471.5,6921.14,4434.97,2811.57,841.62,89.33,2778.64,2713.14
