Date,Mechanical,Thermal,Age,Errors
2024-05-06,46.8847,33.0178,27.2354,473.999
2024-05-07,47.4071,33.0791,27.2575,473.621
2024-05-08,47.8257,32.9335,27.2803,474.78
2024-05-09,48.1462,32.969,27.3021,475.381
2024-05-10,46.397,33.1922,27.3239,476.168
2024-05-11,46.0927,33.4002,27.3464,475.134
2024-05-12,46.0638,33.5113,27.3701,474.861
2024-05-13,46.5718,33.6186,27.3924,470.723
2024-05-14,46.9911,33.7256,27.4135,471.181
2024-05-15,45.7038,33.8666,27.4335,472.015
2024-05-16,46.0261,33.5278,27.4549,472.287
2024-05-17,45.9466,33.5534,27.4756,472.915
2024-05-18,46.1674,33.1461,27.4965,476.963
2024-05-19,46.2374,33.1457,27.522,480.16
2024-05-20,47.0169,33.4859,27.5441,480.73
2024-05-21,49.0458,33.5081,27.5659,481.436
2024-05-22,49.1955,33.4161,27.5885,481.741
2024-05-23,50.9461,33.2077,27.6111,481.927
2024-05-24,51.6962,33.2129,27.6345,482.252
2024-05-25,50.8126,33.1657,27.6576,482.82
2024-05-26,50.3432,33.1174,27.679,483.324
2024-05-27,50.9724,33.1895,27.7021,482.692
2024-05-28,47.6013,33.2246,27.7041,482.868
2024-05-29,48.5686,33.4133,27.7337,482.905
2024-05-30,48.4109,33.5545,27.6611,481.986
2024-05-31,47.6193,33.6763,27.6724,481.907
2024-06-01,47.8263,33.8594,27.6963,482.038
2024-06-02,47.2999,33.9406,27.7121,481.7
2024-06-03,48.0191,33.912,27.7387,481.64
2024-06-04,48.3184,33.8894,27.7598,481.583
2024-06-05,47.9978,33.7526,27.7808,481.827
2024-06-06,47.2413,33.8585,27.7402,481.024
2024-06-07,46.4685,34.098,27.7065,480.062
2024-06-08,46.0025,34.224,27.728,479.775
2024-06-09,46.6633,34.2566,27.7506,479.857
2024-06-10,47.3686,34.2899,27.7731,480.569
2024-06-11,47.8766,34.3205,27.7947,468.951
2024-06-12,47.8313,34.2751,27.8163,469.093
2024-06-13,48.5043,34.3443,27.8353,469.367
2024-06-14,47.3034,34.4135,27.8576,469.649
2024-06-15,48.852,34.5062,27.8883,469.999
2024-06-16,48.0784,34.6017,27.9141,470.311
2024-06-17,48.7261,34.5062,27.9338,470.724
2024-06-18,49.8901,34.4397,27.9552,471.114
2024-06-19,51.7244,34.3233,28.5708,500.436
2024-06-20,52.8078,34.4511,28.5348,499.398
2024-06-21,49.8533,34.3889,27.9069,469.993
2024-06-22,50.5375,34.3407,27.933,470.254
2024-06-23,50.754,34.2102,27.9487,470.154
2024-06-24,51.0877,34.258,27.9742,470.533
2024-06-25,51.3015,34.3206,28.0019,471.039
2024-06-26,50.3544,34.1341,28.0131,471.083
2024-06-27,47.6551,34.0592,28.0335,471.418
