H3Cit,H2Cit_minus,HCit_2minus,Cit_3minus
0.0000000177,0.0002808613,0.1047490776,0.8949700434
0.0000000131,0.0002304546,0.0953827390,0.9043867933
0.0000000096,0.0001889158,0.0867718547,0.9130392198
0.0000000071,0.0001547300,0.0788699065,0.9209753563
0.0000000052,0.0001266298,0.0716306260,0.9282427389
0.0000000039,0.0001035575,0.0650085653,0.9348878733
0.0000000028,0.0000846329,0.0589595493,0.9409558150
0.0000000021,0.0000691247,0.0534410221,0.9464898511
0.0000000015,0.0000564272,0.0484123014,0.9515312699
0.0000000011,0.0000460389,0.0438347541,0.9561192058
0.0000000008,0.0000375460,0.0396719051,0.9602905481
0.0000000006,0.0000306071,0.0358894911,0.9640799012
0.0000000004,0.0000249411,0.0324554703,0.9675195881
0.0000000003,0.0000203171,0.0293399963,0.9706396863
0.0000000002,0.0000165453,0.0265153644,0.9734680901
0.0000000002,0.0000134699,0.0239559379,0.9760305921
0.0000000001,0.0000109633,0.0216380590,0.9783509775
0.0000000001,0.0000089212,0.0195399496,0.9804511292
0.0000000001,0.0000072579,0.0176416056,0.9823511365
0.0000000001,0.0000059036,0.0159246889,0.9840694075
0.0000000000,0.0000048012,0.0143724176,0.9856227811
0.0000000000,0.0000039040,0.0129694583,0.9870266376
0.0000000000,0.0000031741,0.0117018206,0.9882950053
0.0000000000,0.0000025803,0.0105567554,0.9894406643
0.0000000000,0.0000020974,0.0095226582,0.9904752444
0.0000000000,0.0000017046,0.0085889770,0.9914093184
0.0000000000,0.0000013853,0.0077461251,0.9922524895
0.0000000000,0.0000011257,0.0069854007,0.9930134736
0.0000000000,0.0000009147,0.0062989102,0.9937001751
0.0000000000,0.0000007432,0.0056794985,0.9943197583
0.0000000000,0.0000006038,0.0051206834,0.9948787128
0.0000000000,0.0000004905,0.0046165957,0.9953829138
0.0000000000,0.0000003985,0.0041619234,0.9958376781
0.0000000000,0.0000003237,0.0037518613,0.9962478150
0.0000000000,0.0000002629,0.0033820642,0.9966176728
0.0000000000,0.0000002136,0.0030486041,0.9969511823
0.0000000000,0.0000001735,0.0027479313,0.9972518952
0.0000000000,0.0000001409,0.0024768391,0.9975230200
0.0000000000,0.0000001144,0.0022324312,0.9977674544
0.0000000000,0.0000000929,0.0020120921,0.9979878150
0.0000000000,0.0000000755,0.0018134607,0.9981864638
0.0000000000,0.0000000613,0.0016344059,0.9983655328
0.0000000000,0.0000000498,0.0014730043,0.9985269459
0.0000000000,0.0000000404,0.0013275203,0.9986724393
0.0000000000,0.0000000328,0.0011963880,0.9988035792
0.0000000000,0.0000000267,0.0010781950,0.9989217783
0.0000000000,0.0000000216,0.0009716671,0.9990283113
0.0000000000,0.0000000176,0.0008756551,0.9991243273
0.0000000000,0.0000000143,0.0007891228,0.9992108629
0.0000000000,0.0000000116,0.0007111355,0.9992888529
0.0000000000,0.0000000094,0.0006408506,0.9993591400
0.0000000000,0.0000000076,0.0005775082,0.9994224841
0.0000000000,0.0000000062,0.0005204234,0.9994795704
0.0000000000,0.0000000050,0.0004689786,0.9995310163
0.0000000000,0.0000000041,0.0004226171,0.9995773788
0.0000000000,0.0000000033,0.0003808370,0.9996191597
0.0000000000,0.0000000027,0.0003431858,0.9996568115
0.0000000000,0.0000000022,0.0003092559,0.9996907420
0.0000000000,0.0000000018,0.0002786795,0.9997213187
0.0000000000,0.0000000014,0.0002511256,0.9997488730
