H3PO4,H2PO4_minus,HPO4_2minus,PO4_3minus
0.0000000000,0.0002369362,0.9731713037,0.0265917600
0.0000000000,0.0002017711,0.9688487757,0.0309494531
0.0000000000,0.0001716983,0.9638336269,0.0359946749
0.0000000000,0.0001459831,0.9580273475,0.0418266694
0.0000000000,0.0001239973,0.9513201837,0.0485558190
0.0000000000,0.0001052035,0.9435910148,0.0563037817
0.0000000000,0.0000891421,0.9347076782,0.0652031797
0.0000000000,0.0000754202,0.9245279062,0.0753966735
0.0000000000,0.0000637019,0.9129010698,0.0870352283
0.0000000000,0.0000536999,0.8996709369,0.1002753633
0.0000000000,0.0000451686,0.8846796566,0.1152751748
0.0000000000,0.0000378981,0.8677731516,0.1321889503
0.0000000000,0.0000317089,0.8488080339,0.1511602572
0.0000000000,0.0000264475,0.8276600436,0.1723135089
0.0000000000,0.0000219824,0.8042338317,0.1957441859
0.0000000000,0.0000182011,0.7784736746,0.2215081242
0.0000000000,0.0000150070,0.7503744338,0.2496105592
0.0000000000,0.0000123170,0.7199917883,0.2799958947
0.0000000000,0.0000100595,0.6874505403,0.3125394001
0.0000000000,0.0000081729,0.6529496777,0.3470421494
0.0000000000,0.0000066035,0.6167629606,0.3832304358
0.0000000000,0.0000053049,0.5792341196,0.4207605755
0.0000000000,0.0000042363,0.5407663141,0.4592294496
0.0000000000,0.0000033626,0.5018062390,0.4981903984
0.0000000000,0.0000026529,0.4628240528,0.5371732943
0.0000000000,0.0000020803,0.4242909670,0.5757069527
0.0000000000,0.0000016216,0.3866567288,0.6133416495
0.0000000000,0.0000012568,0.3503292469,0.6496694963
0.0000000000,0.0000009686,0.3156582502,0.6843407811
0.0000000000,0.0000007426,0.2829242222,0.7170750352
0.0000000000,0.0000005666,0.2523330712,0.7476663622
0.0000000000,0.0000004302,0.2240162495,0.7759833203
0.0000000000,0.0000003253,0.1980354482,0.8019642264
0.0000000000,0.0000002451,0.1743906570,0.8256090980
0.0000000000,0.0000001839,0.1530302695,0.8469695466
0.0000000000,0.0000001376,0.1338620177,0.8661378447
0.0000000000,0.0000001027,0.1167637396,0.8832361577
0.0000000000,0.0000000764,0.1015932658,0.8984066577
0.0000000000,0.0000000568,0.0881969890,0.9118029542
0.0000000000,0.0000000421,0.0764169178,0.9235830401
0.0000000000,0.0000000311,0.0660962012,0.9339037677
0.0000000000,0.0000000230,0.0570832282,0.9429167488
0.0000000000,0.0000000170,0.0492344843,0.9507654987
0.0000000000,0.0000000125,0.0424163693,0.9575836182
0.0000000000,0.0000000092,0.0365061902,0.9634938006
0.0000000000,0.0000000068,0.0313925219,0.9686074713
0.0000000000,0.0000000050,0.0269751051,0.9730248899
0.0000000000,0.0000000037,0.0231644220,0.9768355744
