L_km,P_nue,P_numu,P_nutau
L0525.39,1.5619769166e-02,7.8785344904e-01,1.9652678180e-01
L0529.40,1.4604874723e-02,8.0401563497e-01,1.8137949031e-01
L0533.40,1.3622674443e-02,8.1967667424e-01,1.6670065132e-01
L0537.40,1.2675205601e-02,8.3481075513e-01,1.5251403927e-01
L0541.41,1.1764455854e-02,8.4939293752e-01,1.3884260662e-01
L0545.41,1.0892359581e-02,8.6339919399e-01,1.2570844643e-01
L0549.41,1.0060794308e-02,8.7680644933e-01,1.1313275636e-01
L0553.41,9.2715772087e-03,8.8959261861e-01,1.0113580418e-01
L0557.42,8.5264616953e-03,9.0173664346e-01,8.9736894843e-02
L0561.42,7.8271341111e-03,9.1321852678e-01,7.8954339108e-02
L0565.42,7.1752105182e-03,9.2401936560e-01,6.8805423882e-02
L0569.43,6.5722335969e-03,9.3412138218e-01,5.9306384222e-02
L0573.43,6.0196696576e-03,9.4350795325e-01,5.0472377095e-02
L0577.43,5.5189057723e-03,9.5216363729e-01,4.2317456934e-02
L0581.44,5.0712470316e-03,9.6007419995e-01,3.4854553016e-02
L0585.44,4.6779139316e-03,9.6722663736e-01,2.8095448707e-02
L0589.44,4.3400398959e-03,9.7360919750e-01,2.2050762609e-02
L0593.44,4.0586689385e-03,9.7921139943e-01,1.6729931633e-02
L0597.45,3.8347534708e-03,9.8402405050e-01,1.2141196029e-02
L0601.45,3.6691522587e-03,9.8803926134e-01,8.2915863997e-03
L0605.45,3.5626285325e-03,9.9125045876e-01,5.1869127033e-03
L0609.46,3.5158482545e-03,9.9365239646e-01,2.8317552874e-03
L0613.46,3.5293785477e-03,9.9524116351e-01,1.2294579444e-03
L0617.46,3.6036862887e-03,9.9601419070e-01,3.8212301263e-04
L0621.47,3.7391368680e-03,9.9597025461e-01,2.9060852433e-04
L0625.47,3.9359931215e-03,9.9510947947e-01,9.5452740689e-04
L0629.47,4.1944144337e-03,9.9343333683e-01,2.3722487361e-03
L0633.47,4.5144560172e-03,9.9094464294e-01,4.5409010388e-03
L0637.48,4.8960683687e-03,9.8764755399e-01,7.4563776388e-03
L0641.48,5.3390969040e-03,9.8354755906e-01,1.1113344036e-02
L0645.48,5.8432817731e-03,9.7865147092e-01,1.5505247303e-02
L0649.49,6.4082578566e-03,9.7296741465e-01,2.0624327492e-02
L0653.49,7.0335549441e-03,9.6650481404e-01,2.6461631014e-02
L0657.49,7.7185980945e-03,9.5927437591e-01,3.3007025991e-02
L0661.50,8.4627081798e-03,9.5128807229e-01,4.0249219529e-02
L0665.50,9.2651026095e-03,9.4255912048e-01,4.8175776913e-02
L0669.50,1.0124896239e-02,9.3310196111e-01,5.6773142652e-02
L0673.50,1.1041102455e-02,9.2293223416e-01,6.6026663383e-02
L0677.51,1.2012634447e-02,9.1206675300e-01,7.5920612553e-02
L0681.51,1.3038306650e-02,9.0052347648e-01,8.6438216875e-02
L0685.51,1.4116836367e-02,8.8832147916e-01,9.7561684477e-02
L0689.52,1.5246845568e-02,8.7548091970e-01,1.0927223473e-01
L0693.52,1.6426862856e-02,8.6202300745e-01,1.2155012969e-01
L0697.52,1.7655325603e-02,8.4796996731e-01,1.3437470708e-01
L0701.53,1.8930582259e-02,8.3334500292e-01,1.4772441482e-01
L0705.53,2.0250894813e-02,8.1817225824e-01,1.6157684695e-01
L0709.53,2.1614441421e-02,8.0247677759e-01,1.7590878099e-01
L0713.53,2.3019319186e-02,7.8628446420e-01,1.9069621662e-01
L0717.54,2.4463547089e-02,7.6962203734e-01,2.0591441557e-01
L0721.54,2.5945069068e-02,7.5251698813e-01,2.2153794280e-01
L0725.54,2.7461757238e-02,7.3499753406e-01,2.3754070870e-01
L0729.55,2.9011415244e-02,7.1709257232e-01,2.5389601244e-01
L0733.55,3.0591781754e-02,6.9883163203e-01,2.7057658621e-01
L0737.55,3.2200534068e-02,6.8024482542e-01,2.8755464051e-01
L0741.56,3.3835291856e-02,6.6136279804e-01,3.0480191010e-01
L0745.56,3.5493621000e-02,6.4221667814e-01,3.2228970086e-01
L0749.56,3.7173037556e-02,6.2283802520e-01,3.3998893725e-01
L0753.56,3.8871011807e-02,6.0325877781e-01,3.5787021039e-01
L0757.57,4.0584972417e-02,5.8351120090e-01,3.7590382669e-01
L0761.57,4.2312310668e-02,5.6362783244e-01,3.9405985690e-01
L0765.57,4.4050384784e-02,5.4364142972e-01,4.1230818550e-01
L0769.58,4.5796524327e-02,5.2358491523e-01,4.3061856044e-01
L0773.58,4.7548034651e-02,5.0349132235e-01,4.4896064300e-01
L0777.58,4.9302201431e-02,4.8339374076e-01,4.6730405781e-01
L0781.59,5.1056295229e-02,4.6332526186e-01,4.8561844291e-01
L0785.59,5.2807576111e-02,4.4331892415e-01,5.0387349973e-01
L0789.59,5.4553298301e-02,4.2340765872e-01,5.2203904298e-01
L0793.59,5.6290714855e-02,4.0362423488e-01,5.4008505027e-01
L0797.60,5.8017082365e-02,3.8400120616e-01,5.5798171147e-01
L0801.60,5.9729665670e-02,3.6457085658e-01,5.7569947775e-01
L0805.60,6.1425742569e-02,3.4536514741e-01,5.9320911002e-01
L0809.61,6.3102608534e-02,3.2641566450e-01,6.1048172697e-01
L0813.61,6.4757581410e-02,3.0775356615e-01,6.2748885244e-01
L0817.61,6.6388006089e-02,2.8940953182e-01,6.4420246209e-01
L0821.62,6.7991259166e-02,2.7141371154e-01,6.6059502930e-01
L0825.62,6.9564753546e-02,2.5379567620e-01,6.7663957025e-01
L0829.62,7.1105943015e-02,2.3658436890e-01,6.9230968808e-01
L0833.62,7.2612326755e-02,2.1980805723e-01,7.0757961602e-01
L0837.63,7.4081453797e-02,2.0349428672e-01,7.2242425948e-01
L0841.63,7.5510927408e-02,1.8766983555e-01,7.3681923705e-01
L0845.63,7.6898409395e-02,1.7236067039e-01,7.5074092022e-01
L0849.64,7.8241624337e-02,1.5759190373e-01,7.6416647193e-01
L0853.64,7.9538363709e-02,1.4338775258e-01,7.7707388371e-01
L0857.64,8.0786489921e-02,1.2977149857e-01,7.8944201151e-01
L0861.65,8.1983940241e-02,1.1676544976e-01,8.0125061000e-01
L0865.65,8.3128730608e-02,1.0439090392e-01,8.1248036547e-01
L0869.65,8.4218959323e-02,9.2668113565e-02,8.2311292711e-01
L0873.65,8.5252810613e-02,8.1616252689e-02,8.3313093670e-01
L0877.66,8.6228558060e-02,7.1253385301e-02,8.4251805664e-01
L0881.66,8.7144567891e-02,6.1596435789e-02,8.5125899632e-01
L0885.66,8.7999302116e-02,5.2661161168e-02,8.5933953672e-01
L0889.67,8.8791321523e-02,4.4462125271e-02,8.6674655321e-01
L0893.67,8.9519288504e-02,3.7012674901e-02,8.7346803659e-01
L0897.67,9.0181969723e-02,3.0324918009e-02,8.7949311227e-01
L0901.68,9.0778238612e-02,2.4409703911e-02,8.8481205748e-01
L0905.68,9.1307077698e-02,1.9276605590e-02,8.8941631671e-01
L0909.68,9.1767580744e-02,1.4933904110e-02,8.9329851515e-01
L0913.68,9.2158954716e-02,1.1388575162e-02,8.9645247012e-01
L0917.69,9.2480521550e-02,8.6462777711e-03,8.9887320068e-01
L0921.69,9.2731719743e-02,6.7113451745e-03,9.0055693508e-01
L0925.69,9.2912105743e-02,5.5867778952e-03,9.0150111636e-01
L0929.70,9.3021355138e-02,5.2742390131e-03,9.0170440585e-01
L0933.70,9.3059263649e-02,5.7740516471e-03,9.0116668470e-01
L0937.70,9.3025747926e-02,7.0851986494e-03,8.9988905342e-01
L0941.71,9.2920846130e-02,9.2053245120e-03,8.9787382936e-01
L0945.71,9.2744718312e-02,1.2130739483e-02,8.9512454221e-01
L0949.71,9.2497646590e-02,1.5856425886e-02,8.9164592752e-01
L0953.71,9.2180035110e-02,2.0376046626e-02,8.8744391826e-01
L0957.72,9.1792409802e-02,2.5681955883e-02,8.8252563432e-01
L0961.72,9.1335417923e-02,3.1765211948e-02,8.7689937013e-01
L0965.72,9.0809827398e-02,3.8615592212e-02,8.7057458039e-01
L0969.73,9.0216525942e-02,4.6221610259e-02,8.6356186380e-01
