L_km,P_nue,P_numu,P_nutau
L3095.32,7.9224586239e-02,9.0706393051e-01,1.3711483255e-02
L3099.32,8.0178134159e-02,9.0710411382e-01,1.2717752023e-02
L3103.33,8.1267966206e-02,9.0640966545e-01,1.2322368341e-02
L3107.33,8.2492882840e-02,9.0498199107e-01,1.2525126088e-02
L3111.33,8.3851456314e-02,9.0282370174e-01,1.3324841946e-02
L3115.34,8.5342032703e-02,8.9993860890e-01,1.4719358395e-02
L3119.34,8.6962734320e-02,8.9633171739e-01,1.6705548289e-02
L3123.34,8.8711462502e-02,8.9200921648e-01,1.9279321015e-02
L3127.35,9.0585900786e-02,8.8697846899e-01,2.2435630228e-02
L3131.35,9.2583518444e-02,8.8124799842e-01,2.6168483137e-02
L3135.35,9.4701574391e-02,8.7482747428e-01,3.0470951326e-02
L3139.35,9.6937121447e-02,8.6772769546e-01,3.5335183098e-02
L3143.36,9.9287010955e-02,8.5996057173e-01,4.0752417316e-02
L3147.36,1.0174789775e-01,8.5153910354e-01,4.6712998716e-02
L3151.36,1.0431624544e-01,8.4247735990e-01,5.3206394663e-02
L3155.37,1.0698833208e-01,8.3279045460e-01,6.0221213326e-02
L3159.37,1.0976025606e-01,8.2249452070e-01,6.7745223241e-02
L3163.37,1.1262794244e-01,8.1160668334e-01,7.5765374220e-02
L3167.38,1.1558714946e-01,8.0014503096e-01,8.4267819580e-02
L3171.38,1.1863347539e-01,7.8812858496e-01,9.3237939649e-02
L3175.38,1.2176236572e-01,7.7557726777e-01,1.0266036651e-01
L3179.38,1.2496912051e-01,7.6251186954e-01,1.1251900995e-01
L3183.39,1.2824890206e-01,7.4895401342e-01,1.2279708453e-01
L3187.39,1.3159674281e-01,7.3492611938e-01,1.3347713781e-01
L3191.39,1.3500755348e-01,7.2045136692e-01,1.4454107960e-01
L3195.40,1.3847613142e-01,7.0555365635e-01,1.5597021223e-01
L3199.40,1.4199716914e-01,6.9025756910e-01,1.6774526176e-01
L3203.40,1.4556526306e-01,6.7458832678e-01,1.7984641016e-01
L3207.41,1.4917492244e-01,6.5857174931e-01,1.9225332825e-01
L3211.41,1.5282057844e-01,6.4223421202e-01,2.0494520953e-01
L3215.41,1.5649659335e-01,6.2560260195e-01,2.1790080470e-01
L3219.41,1.6019726993e-01,6.0870427323e-01,2.3109845684e-01
L3223.42,1.6391686087e-01,5.9156700180e-01,2.4451613733e-01
L3227.42,1.6764957839e-01,5.7421893943e-01,2.5813148217e-01
L3231.42,1.7138960385e-01,5.5668856716e-01,2.7192182900e-01
L3235.43,1.7513109746e-01,5.3900464819e-01,2.8586425435e-01
L3239.43,1.7886820808e-01,5.2119618043e-01,2.9993561149e-01
L3243.43,1.8259508297e-01,5.0329234857e-01,3.1411256845e-01
L3247.44,1.8630587767e-01,4.8532247597e-01,3.2837164636e-01
L3251.44,1.8999476572e-01,4.6731597631e-01,3.4268925797e-01
L3255.44,1.9365594857e-01,4.4930230511e-01,3.5704174633e-01
L3259.44,1.9728366525e-01,4.3131091126e-01,3.7140542349e-01
L3263.45,2.0087220217e-01,4.1337118853e-01,3.8575660930e-01
L3267.45,2.0441590273e-01,3.9551242728e-01,4.0007166999e-01
L3271.45,2.0790917689e-01,3.7776376627e-01,4.1432705684e-01
L3275.46,2.1134651069e-01,3.6015414485e-01,4.2849934447e-01
L3279.46,2.1472247556e-01,3.4271225542e-01,4.4256526902e-01
L3283.46,2.1803173761e-01,3.2546649644e-01,4.5650176595e-01
L3287.47,2.2126906667e-01,3.0844492580e-01,4.7028600753e-01
L3291.47,2.2442934525e-01,2.9167521494e-01,4.8389543980e-01
L3295.47,2.2750757728e-01,2.7518460353e-01,4.9730781919e-01
L3299.47,2.3049889667e-01,2.5899985492e-01,5.1050124841e-01
L3303.48,2.3339857569e-01,2.4314721240e-01,5.2345421191e-01
L3307.48,2.3620203307e-01,2.2765235639e-01,5.3614561054e-01
L3311.48,2.3890484193e-01,2.1254036250e-01,5.4855479557e-01
L3315.49,2.4150273745e-01,1.9783566066e-01,5.6066160189e-01
L3319.49,2.4399162422e-01,1.8356199538e-01,5.7244638041e-01
L3323.49,2.4636758338e-01,1.6974238706e-01,5.8389002955e-01
L3327.50,2.4862687951e-01,1.5639909465e-01,5.9497402584e-01
L3331.50,2.5076596706e-01,1.4355357945e-01,6.0568045350e-01
L3335.50,2.5278149668e-01,1.3122647033e-01,6.1599203298e-01
L3339.50,2.5467032109e-01,1.1943753038e-01,6.2589214853e-01
L3343.51,2.5642950064e-01,1.0820562487e-01,6.3536487450e-01
L3347.51,2.5805630857e-01,9.7548690855e-02,6.4439500058e-01
L3351.51,2.5954823590e-01,8.7483708244e-02,6.5296805586e-01
L3355.52,2.6090299595e-01,7.8026672483e-02,6.6107033157e-01
L3359.52,2.6211852851e-01,6.9192568885e-02,6.6868890260e-01
L3363.52,2.6319300364e-01,6.0995348630e-02,6.7581164773e-01
L3367.53,2.6412482503e-01,5.3447906492e-02,6.8242726848e-01
L3371.53,2.6491263308e-01,4.6562060311e-02,6.8852530661e-01
L3375.53,2.6555530751e-01,4.0348532256e-02,6.9409616024e-01
L3379.53,2.6605196957e-01,3.4816931904e-02,6.9913109853e-01
L3383.54,2.6640198388e-01,2.9975741161e-02,7.0362227496e-01
L3387.54,2.6660495987e-01,2.5832301051e-02,7.0756273908e-01
L3391.54,2.6666075276e-01,2.2392800386e-02,7.1094644685e-01
L3395.55,2.6656946419e-01,1.9662266349e-02,7.1376826947e-01
L3399.55,2.6633144238e-01,1.7644556985e-02,7.1602400064e-01
L3403.55,2.6594728194e-01,1.6342355634e-02,7.1771036242e-01
L3407.56,2.6541782322e-01,1.5757167289e-02,7.1882500949e-01
L3411.56,2.6474415122e-01,1.5889316905e-02,7.1936653187e-01
L3415.56,2.6392759420e-01,1.6737949644e-02,7.1933445615e-01
L3419.56,2.6296972173e-01,1.8301033071e-02,7.1872924520e-01
L3423.57,2.6187234246e-01,2.0575361276e-02,7.1755229627e-01
L3427.57,2.6063750139e-01,2.3556560935e-02,7.1580593767e-01
L3431.57,2.5926747684e-01,2.7239099279e-02,7.1349342388e-01
L3435.58,2.5776477691e-01,3.1616293974e-02,7.1061892912e-01
L3439.58,2.5613213562e-01,3.6680324883e-02,7.0718753950e-01
L3443.58,2.5437250867e-01,4.2422247689e-02,7.0320524364e-01
L3447.59,2.5248906880e-01,4.8832009367e-02,6.9867892183e-01
L3451.59,2.5048520075e-01,5.5898465464e-02,6.9361633378e-01
L3455.59,2.4836449592e-01,6.3609399163e-02,6.8802610491e-01
L3459.59,2.4613074664e-01,7.1951542107e-02,6.8191771125e-01
L3463.60,2.4378794008e-01,8.0910596929e-02,6.7530146299e-01
L3467.60,2.4134025186e-01,9.0471261466e-02,6.6818848667e-01
L3471.60,2.3879203933e-01,1.0061725461e-01,6.6059070606e-01
L3475.61,2.3614783446e-01,1.1133134376e-01,6.5252082178e-01
L3479.61,2.3341233660e-01,1.2259537378e-01,6.4399228962e-01
L3483.61,2.3059040471e-01,1.3439029754e-01,6.3501929775e-01
L3487.62,2.2768704954e-01,1.4669620781e-01,6.2561674265e-01
L3491.62,2.2470742541e-01,1.5949237060e-01,6.1580020400e-01
L3495.62,2.2165682174e-01,1.7275725983e-01,6.0558591843e-01
L3499.62,2.1854065442e-01,1.8646859329e-01,5.9499075229e-01
L3503.63,2.1536445689e-01,2.0060336977e-01,5.8403217334e-01
L3507.63,2.1213387102e-01,2.1513790743e-01,5.7272822155e-01
L3511.63,2.0885463781e-01,2.3004788318e-01,5.6109747901e-01
L3515.64,2.0553258791e-01,2.4530837313e-01,5.4915903896e-01
L3519.64,2.0217363196e-01,2.6089389402e-01,5.3693247402e-01
L3523.64,1.9878375080e-01,2.7677844549e-01,5.2443780371e-01
L3527.65,1.9536898553e-01,2.9293555322e-01,5.1169546125e-01
L3531.65,1.9193542749e-01,3.0933831276e-01,4.9872625974e-01
L3535.65,1.8848920810e-01,3.2595943414e-01,4.8555135776e-01
L3539.65,1.8503648862e-01,3.4277128695e-01,4.7219222444e-01
L3543.66,1.8158344989e-01,3.5974594606e-01,4.5867060404e-01
L3547.66,1.7813628201e-01,3.7685523775e-01,4.4500848024e-01
L3551.66,1.7470117391e-01,3.9407078618e-01,4.3122803991e-01
L3555.67,1.7128430304e-01,4.1136406025e-01,4.1735163671e-01
L3559.67,1.6789182497e-01,4.2870642058e-01,4.0340175445e-01
L3563.67,1.6452986303e-01,4.4606916672e-01,3.8940097025e-01
L3567.68,1.6120449802e-01,4.6342358435e-01,3.7537191763e-01
L3571.68,1.5792175794e-01,4.8074099257e-01,3.6133724949e-01
L3575.68,1.5468760784e-01,4.9799279099e-01,3.4731960117e-01
L3579.68,1.5150793968e-01,5.1515050673e-01,3.3334155359e-01
L3583.69,1.4838856241e-01,5.3218584114e-01,3.1942559645e-01
L3587.69,1.4533519209e-01,5.4907071624e-01,3.0559409167e-01
L3591.69,1.4235344217e-01,5.6577732070e-01,2.9186923713e-01
L3595.70,1.3944881396e-01,5.8227815542e-01,2.7827303062e-01
L3599.70,1.3662668724e-01,5.9854607850e-01,2.6482723426e-01
L3603.70,1.3389231108e-01,6.1455434963e-01,2.5155333928e-01
L3607.71,1.3125079488e-01,6.3027667380e-01,2.3847253131e-01
L3611.71,1.2870709957e-01,6.4568724419e-01,2.2560565624e-01
L3615.71,1.2626602913e-01,6.6076078426e-01,2.1297318660e-01
L3619.71,1.2393222231e-01,6.7547258898e-01,2.0059518871e-01
L3623.72,1.2171014463e-01,6.8979856497e-01,1.8849129039e-01
L3627.72,1.1960408065e-01,7.0371526978e-01,1.7668064957e-01
L3631.72,1.1761812657e-01,7.1719994987e-01,1.6518192357e-01
L3635.73,1.1575618305e-01,7.3023057760e-01,1.5401323935e-01
L3639.73,1.1402194850e-01,7.4278588691e-01,1.4319216459e-01
L3643.73,1.1241891251e-01,7.5484540774e-01,1.3273567976e-01
L3647.74,1.1095034976e-01,7.6638949911e-01,1.2266015112e-01
L3651.74,1.0961931428e-01,7.7739938085e-01,1.1298130488e-01
L3655.74,1.0842863394e-01,7.8785716380e-01,1.0371420226e-01
L3659.74,1.0738090551e-01,7.9774587865e-01,9.4873215841e-02
L3663.75,1.0647848991e-01,8.0704950314e-01,8.6472006954e-02
L3667.75,1.0572350798e-01,8.1575298772e-01,7.8523504300e-02
L3671.75,1.0511783662e-01,8.2384227960e-01,7.1039883787e-02
L3675.76,1.0466310525e-01,8.3130434514e-01,6.4032549617e-02
L3679.76,1.0436069281e-01,8.3812719053e-01,5.7512116664e-02
L3683.76,1.0421172510e-01,8.4429988075e-01,5.1488394144e-02
L3687.77,1.0421707254e-01,8.4981255682e-01,4.5970370640e-02
L3691.77,1.0437734837e-01,8.5465645116e-01,4.0966200471e-02
L3695.77,1.0469290730e-01,8.5882390127e-01,3.6483191439e-02
L3699.77,1.0516384454e-01,8.6230836148e-01,3.2527793978e-02
L3703.78,1.0578999533e-01,8.6510441296e-01,2.9105591712e-02
L3707.78,1.0657093485e-01,8.6720777171e-01,2.6221293436e-02
L3711.78,1.0750597860e-01,8.6861529487e-01,2.3878726537e-02
L3715.79,1.0859418317e-01,8.6932498498e-01,2.2080831857e-02
L3719.79,1.0983434752e-01,8.6933599247e-01,2.0829660013e-02
L3723.79,1.1122501463e-01,8.6864861620e-01,2.0126369163e-02
L3727.80,1.1276447363e-01,8.6726430213e-01,1.9971224246e-02
L3731.80,1.1445076227e-01,8.6518564007e-01,2.0363597660e-02
L3735.80,1.1628166996e-01,8.6241635863e-01,2.1301971412e-02
L3739.80,1.1825474107e-01,8.5896131823e-01,2.2783940701e-02
L3743.81,1.2036727880e-01,8.5482650225e-01,2.4806218953e-02
L3747.81,1.2261634930e-01,8.5001900641e-01,2.7364644284e-02
L3751.81,1.2499878636e-01,8.4454702627e-01,3.0454187377e-02
L3755.82,1.2751119633e-01,8.3841984290e-01,3.4068960768e-02
L3759.82,1.3014996359e-01,8.3164780689e-01,3.8202229518e-02
L3763.82,1.3291125625e-01,8.2424232050e-01,4.2846423246e-02
L3767.83,1.3579103234e-01,8.1621581814e-01,4.7993149519e-02
L3771.83,1.3878504626e-01,8.0758174518e-01,5.3633208557e-02
L3775.83,1.4188885569e-01,7.9835453508e-01,5.9756609233e-02
L3779.83,1.4509782872e-01,7.8854958493e-01,6.6352586350e-02
L3783.84,1.4840715141e-01,7.7818322945e-01,7.3409619146e-02
L3787.84,1.5181183559e-01,7.6727271339e-01,8.0915451019e-02
L3791.84,1.5530672701e-01,7.5583616258e-01,8.8857110413e-02
L3795.85,1.5888651376e-01,7.4389255339e-01,9.7220932852e-02
L3799.85,1.6254573496e-01,7.3146168097e-01,1.0599258407e-01
L3803.85,1.6627878972e-01,7.1856412609e-01,1.1515708418e-01
L3807.86,1.7007994635e-01,7.0522122070e-01,1.2469883294e-01
L3811.86,1.7394335180e-01,6.9145501232e-01,1.3460163588e-01
L3815.86,1.7786304128e-01,6.7728822725e-01,1.4484873146e-01
L3819.86,1.8183294817e-01,6.6274423276e-01,1.5542281907e-01
L3823.87,1.8584691397e-01,6.4784699813e-01,1.6630608790e-01
L3827.87,1.8989869860e-01,6.3262105485e-01,1.7748024655e-01
L3831.87,1.9398199068e-01,6.1709145587e-01,1.8892655346e-01
L3835.88,1.9809041801e-01,6.0128373403e-01,2.0062584797e-01
L3839.88,2.0221755823e-01,5.8522385972e-01,2.1255858205e-01
L3843.88,2.0635694946e-01,5.6893819792e-01,2.2470485262e-01
L3847.89,2.1050210110e-01,5.5245346450e-01,2.3704443440e-01
L3851.89,2.1464650465e-01,5.3579668211e-01,2.4955681324e-01
L3855.89,2.1878364463e-01,5.1899513550e-01,2.6222121986e-01
L3859.89,2.2290700945e-01,5.0207632653e-01,2.7501666403e-01
L3863.90,2.2701010231e-01,4.8506792875e-01,2.8792196894e-01
L3867.90,2.3108645217e-01,4.6799774185e-01,3.0091580598e-01
L3871.90,2.3512962456e-01,4.5089364585e-01,3.1397672959e-01
L3875.91,2.3913323243e-01,4.3378355524e-01,3.2708321232e-01
L3879.91,2.4309094691e-01,4.1669537309e-01,3.4021367999e-01
L3883.91,2.4699650799e-01,3.9965694519e-01,3.5334654683e-01
L3887.92,2.5084373506e-01,3.8269601434e-01,3.6646025060e-01
L3891.92,2.5462653743e-01,3.6584017489e-01,3.7953328768e-01
L3895.92,2.5833892458e-01,3.4911682745e-01,3.9254424798e-01
L3899.92,2.6197501635e-01,3.3255313406e-01,4.0547184959e-01
L3903.93,2.6552905293e-01,3.1617597374e-01,4.1829497333e-01
L3907.93,2.6899540466e-01,3.0001189855e-01,4.3099269679e-01
L3911.93,2.7236858161e-01,2.8408709019e-01,4.4354432820e-01
L3915.94,2.7564324294e-01,2.6842731731e-01,4.5592943974e-01
L3919.94,2.7881420608e-01,2.5305789348e-01,4.6812790044e-01
L3923.94,2.8187645556e-01,2.3800363592e-01,4.8011990851e-01
L3927.95,2.8482515164e-01,2.2328882520e-01,4.9188602316e-01
L3931.95,2.8765563861e-01,2.0893716568e-01,5.0340719572e-01
L3935.95,2.9036345285e-01,1.9497174705e-01,5.1466480010e-01
L3939.95,2.9294433053e-01,1.8141500690e-01,5.2564066256e-01
L3943.96,2.9539421500e-01,1.6828869435e-01,5.3631709064e-01
L3947.96,2.9770926383e-01,1.5561383485e-01,5.4667690132e-01
L3951.96,2.9988585550e-01,1.4341069623e-01,5.5670344827e-01
L3955.97,3.0192059578e-01,1.3169875597e-01,5.6638064825e-01
L3959.97,3.0381032365e-01,1.2049666988e-01,5.7569300647e-01
L3963.97,3.0555211689e-01,1.0982224204e-01,5.8462564107e-01
L3967.98,3.0714329730e-01,9.9692396257e-02,5.9316430645e-01
L3971.98,3.0858143541e-01,9.0123148968e-02,6.0129541562e-01
L3975.98,3.0986435494e-01,8.1129583630e-02,6.0900606143e-01
L3979.98,3.1099013670e-01,7.2725826690e-02,6.1628403661e-01
L3983.99,3.1195712210e-01,6.4925025142e-02,6.2311785276e-01
L3987.99,3.1276391630e-01,5.7739325708e-02,6.2949675799e-01
L3991.99,3.1340939083e-01,5.1179855680e-02,6.3541075349e-01
L3996.00,3.1389268580e-01,4.5256705460e-02,6.4085060874e-01
L4000.00,3.1421321168e-01,3.9978912808e-02,6.4580787551e-01
