# Frielingen-9 mudstone (Lower Cretaceous, eastern Lower Saxony Basin)
# Source: Thoele et al. 2019, PANGAEA 897615 (CC-BY 4.0); discrete WD-XRF + CaCO3 + TOC.
# https://doi.pangaea.de/10.1594/PANGAEA.897615  | paper: https://doi.org/10.1002/dep2.83
# Complete-suite samples only (rows with SiO2/Al2O3/Rb/Zr/CaCO3/TOC). Rb,Zr in mg/kg.
depth_m,SiO2_pct,Al2O3_pct,Rb_mgkg,Zr_mgkg,CaCO3_pct,TOC_pct
208.75,54.13,17.75,141,197,7.83,0.72
209.76,45.98,17.10,142,154,18.50,0.48
210.38,50.71,18.85,148,174,11.00,0.60
211.76,54.77,18.42,148,207,6.75,0.70
212.75,48.78,17.83,136,180,13.08,0.74
213.74,52.72,17.00,131,203,11.33,0.76
214.75,46.33,16.34,119,167,18.83,0.68
216.75,50.32,19.06,149,183,10.67,0.68
217.75,49.50,17.30,139,192,13.50,0.68
218.75,53.73,18.47,147,272,7.17,0.68
219.75,56.34,18.19,144,205,5.67,0.64
220.75,51.06,18.07,145,172,10.58,0.67
221.75,52.44,18.59,164,172,7.83,0.68
222.78,48.97,19.60,178,149,9.25,0.62
223.75,47.85,16.98,141,158,16.00,0.60
224.75,52.76,17.49,139,196,10.92,0.58
225.75,54.38,17.01,132,215,9.58,0.62
226.89,50.93,18.94,166,163,8.42,0.58
227.73,52.55,17.97,145,173,9.42,0.54
228.92,53.14,20.43,171,164,5.17,0.60
229.91,54.33,20.80,187,172,2.92,0.66
230.92,35.94,12.62,94,133,34.83,0.36
231.92,50.37,18.14,144,169,9.75,0.80
232.92,54.94,20.39,178,181,1.75,0.73
233.92,46.62,18.01,155,140,13.50,0.62
234.92,44.34,14.85,99,164,22.58,0.63
235.90,53.69,16.78,123,210,10.42,0.60
237.75,46.09,17.33,134,153,16.17,0.68
238.91,48.11,17.08,135,167,15.58,0.63
241.40,55.89,19.81,160,205,2.58,0.77
242.42,52.46,20.04,156,182,5.42,0.76
243.25,53.56,20.45,167,176,4.50,0.62
244.25,56.45,19.86,160,204,3.25,0.64
244.75,53.03,19.48,152,185,6.58,0.74
245.18,55.04,19.61,146,197,4.92,0.83
246.74,53.69,18.94,155,182,7.00,0.86
247.74,53.91,18.74,136,198,6.75,0.78
248.75,55.45,19.03,147,187,5.25,0.84
249.75,52.65,17.79,141,182,10.08,0.71
