depth_m,x_SiO2,x_Al2O3,x_Rb,x_Zr,clr_SiO2,clr_Al2O3,clr_Rb,clr_Zr,aitchison_step,helmsman,regime,Keff,cnq_radial,bary_x,bary_y,logSiAl,logZrRb,CaCO3_pct,TOC_pct,alpha_SiO2,alpha_Al2O3,alpha_Rb,alpha_Zr
192.75,0.746503,0.253022,0.000205,0.00027,4.3011,3.2192,-3.8974,-3.6229,0.0696,Al2O3,0,1.7681,7.5616,0.1803,0.0236,1.0819,0.2744,4.92,0.76,0.07,2.76,743.19,245.49
194.75,0.75057,0.248967,0.000199,0.000264,4.3229,3.2194,-3.9123,-3.63,0.0274,SiO2,0,1.7601,7.5852,0.1855,0.0091,1.1035,0.2823,8.58,0.78,0.85,0.0,1459.6,244.14
195.86,0.746515,0.253025,0.000205,0.000255,4.316,3.2341,-3.886,-3.6642,0.0461,Zr,0,1.7679,7.5904,0.1398,0.0155,1.0819,0.2218,8.92,0.73,0.03,0.41,1641.87,2082.35
196.75,0.75782,0.241709,0.000193,0.000277,4.3329,3.1902,-3.943,-3.5801,0.112,Zr,0,1.746,7.5706,0.2517,0.0107,1.1427,0.3629,4.75,0.83,0.03,0.61,1265.33,2209.91
197.75,0.745237,0.254296,0.000206,0.000261,4.306,3.2308,-3.8868,-3.6501,0.1021,Zr,0,1.7705,7.577,0.1507,0.0199,1.0752,0.2367,9.67,0.56,0.09,0.66,1566.64,1694.92
198.88,0.733855,0.26568,0.000218,0.000246,4.2842,3.2682,-3.8379,-3.7146,0.0918,Zr,0,1.7916,7.587,0.0594,0.026,1.016,0.1233,4.83,0.69,0.08,0.65,1378.18,1889.42
199.92,0.744456,0.255076,0.000203,0.000264,4.3048,3.2337,-3.8999,-3.6386,0.106,Zr,0,1.7719,7.5788,0.1641,0.0098,1.0711,0.2613,8.75,0.7,0.05,0.4,1573.46,2083.13
200.92,0.753735,0.245783,0.000193,0.000288,4.3144,3.1938,-3.9544,-3.5538,0.1089,Zr,0,1.7542,7.5551,0.2725,0.0052,1.1206,0.4006,7.67,0.73,0.01,0.53,1228.03,2299.62
201.92,0.741516,0.258027,0.000198,0.000259,4.3105,3.2549,-3.9168,-3.6486,0.119,Zr,0,1.7774,7.6045,0.1566,-0.0184,1.0556,0.2683,6.25,0.75,0.0,1.07,514.43,2202.35
202.91,0.761381,0.238123,0.000186,0.000309,4.3217,3.1593,-3.9931,-3.488,0.2021,Zr,1,1.7391,7.5345,0.3562,0.0065,1.1623,0.5051,4.75,0.67,0.0,0.87,717.14,2436.22
203.94,0.76181,0.237702,0.000193,0.000295,4.3249,3.1603,-3.9534,-3.5318,0.0592,Zr,0,1.7382,7.5363,0.3045,0.0294,1.1647,0.4217,5.5,0.87,0.0,0.0,2404.68,1774.79
204.91,0.767131,0.232395,0.000191,0.000283,4.3496,3.1553,-3.9505,-3.5544,0.0339,SiO2,0,1.7271,7.5574,0.292,0.0293,1.1942,0.396,5.75,0.75,0.69,0.09,39.51,1510.19
205.89,0.744252,0.255276,0.000207,0.000265,4.2994,3.2294,-3.8877,-3.6411,0.1394,Zr,0,1.7724,7.5687,0.1574,0.022,1.07,0.2466,10.92,0.73,0.17,1.21,1062.5,1363.19
206.85,0.74205,0.257472,0.000207,0.000271,4.289,3.2305,-3.895,-3.6244,0.021,Zr,0,1.7766,7.559,0.1714,0.0191,1.0585,0.2706,8.25,0.59,0.33,0.01,582.13,2375.36
207.75,0.7657,0.233809,0.000194,0.000297,4.3307,3.1445,-3.951,-3.5242,0.1494,Zr,0,1.7303,7.5282,0.3166,0.0418,1.1863,0.4268,9.58,0.6,0.11,1.29,677.94,1657.62
208.75,0.752707,0.246823,0.000196,0.000274,4.3216,3.2066,-3.9313,-3.5969,0.0981,Zr,0,1.7561,7.5731,0.2247,0.0077,1.115,0.3344,7.83,0.72,0.01,1.72,207.08,1850.4
209.76,0.728574,0.270957,0.000225,0.000244,4.2684,3.2792,-3.8144,-3.7332,0.201,Zr,1,1.8012,7.5801,0.0269,0.0356,0.9891,0.0811,18.5,0.48,0.09,0.53,1728.61,1680.19
210.38,0.728674,0.270864,0.000213,0.00025,4.2766,3.287,-3.8627,-3.7008,0.0593,Rb,0,1.8009,7.5967,0.0724,-0.002,0.9896,0.1618,11.0,0.6,0.03,0.06,2955.4,1224.67
211.76,0.747963,0.251552,0.000202,0.000283,4.2967,3.207,-3.9196,-3.5841,0.1539,Zr,0,1.7655,7.5469,0.2246,0.0205,1.0897,0.3355,6.75,0.7,0.02,1.0,642.99,2303.4
212.75,0.731975,0.267551,0.000204,0.00027,4.274,3.2676,-3.911,-3.6307,0.0802,Al2O3,0,1.7951,7.5777,0.1561,-0.0161,1.0064,0.2803,13.08,0.74,0.11,2.27,57.07,1193.8
213.74,0.755805,0.243716,0.000188,0.000291,4.3235,3.1917,-3.9766,-3.5386,0.1449,Zr,0,1.7501,7.5641,0.2968,-0.009,1.1318,0.438,11.33,0.76,0.16,1.02,1007.09,1494.9
