SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
51.46273265,2.3678548,15.5587369,11.3426383,8.77020898,5.375945018,0.203249339,1.189008634,3.404426429,0.325198943
50.24451591,2.674190945,16.20660626,11.58014694,8.950971202,4.985095573,0.181643159,1.30177597,3.481493872,0.393560177
49.68693488,3.11618325,14.63999079,13.18192055,8.761736022,5.382498341,0.202349562,1.234332326,3.389355159,0.404699123
49.09715041,3.181284612,15.187088,13.43663782,8.865044699,5.30889534,0.212761073,1.134725722,3.171153132,0.405259186
49.30769072,3.14235488,14.71147494,13.40842019,8.800614471,5.365242576,0.2020807,1.313524548,3.34443558,0.404161399
49.63202857,3.046959127,14.98172594,13.24770859,8.9586672,4.828569779,0.192332968,1.255225687,3.421502275,0.435279875
47.8261497,2.995459228,15.45292649,12.60545307,9.381049677,5.667085026,0.192276099,0.850062754,4.503308637,0.526229324
49.22725673,3.608174469,14.67594559,13.22137695,8.797459099,4.277105691,0.233112396,0.98312619,4.114940546,0.861502331
48.55086406,3.909185133,13.76316735,13.87639801,9.205827165,4.344664306,0.263312988,0.921595459,4.223135234,0.941850304
50.11397393,3.162434242,15.05439943,11.6539137,8.21424613,4.203107491,0.171761604,1.313471091,4.849739412,1.262952972
48.39821536,1.94277362,15.28046816,10.34049413,11.36472237,8.80791149,0.171125138,0.614037258,2.727936016,0.35231646
50.84198671,1.885301171,15.57156859,10.22909181,9.589558929,7.510632232,0.163053074,0.896791908,2.975718605,0.336296966
49.02015151,2.191916934,13.71715758,10.67685971,11.02019067,9.151505723,0.181817995,0.818180975,2.868683913,0.353534989
49.66748472,2.075472055,14.56940284,10.67250473,9.051935051,9.277976562,0.17466844,1.181580625,2.948814256,0.380160723
47.60798726,2.393472955,16.24142362,11.88399146,9.976156182,7.240758519,0.181018963,0.764302288,3.308624379,0.402264362
47.65662628,2.284217518,15.90902157,12.26390952,11.06889546,7.063967831,0.171064748,0.462881083,2.898038085,0.221377909
47.31774349,2.178310442,18.21309564,10.69935665,11.32519734,6.171879585,0.161356329,0.494153758,3.146448416,0.292458346
49.10284809,2.041698465,16.82359535,10.58381571,10.89246131,6.135303888,0.183752862,0.735011448,3.154424129,0.347088739
47.7914408,2.420709801,16.05101354,11.72946999,9.964083497,6.89048516,0.180799902,0.783466243,3.776709067,0.411821999
48.97544645,2.101994073,17.04950748,11.33037561,9.687450947,6.336445903,0.182782093,0.700664691,3.361159605,0.27417314
49.57109741,2.332638725,16.53043114,11.18806238,9.370946914,6.260761947,0.19186206,0.817938254,3.423223065,0.313038097
47.66450004,2.139050383,20.00819297,9.332515382,11.72441766,5.166008471,0.141258044,0.504493015,2.996688508,0.32287553
49.07624099,2.571238699,15.88296661,11.81866021,9.616837653,6.175022072,0.182213766,0.961683765,3.350708698,0.364427532
47.56494267,2.646987039,16.39717543,12.56860369,9.426102699,6.415407518,0.191957075,0.838549329,3.495639372,0.454635178
47.35158617,2.583919211,16.18242737,12.68379671,9.545301555,6.292603255,0.20266033,0.942370536,3.769482143,0.445852727
47.54622819,1.952430221,19.76709146,10.03646654,12.2406247,4.774855256,0.141627063,0.475462282,2.771843941,0.293370344
50.38688977,2.282014935,17.38388266,10.79857175,8.904929392,5.071144301,0.172418906,0.953375129,3.661366185,0.385406967
49.7952476,2.767524917,16.27183446,12.08563183,9.312620342,4.413899229,0.181808206,1.191853797,3.595762301,0.383817324
48.43989144,1.639813563,16.96150716,9.689531583,11.65977864,7.253408458,0.1710235,0.714274619,2.937580125,0.533190913
48.79740525,1.755448349,16.85433357,10.05610311,11.47637042,6.788410088,0.182647805,0.761032521,3.013688783,0.314560109
48.90966485,2.30187094,17.96681566,10.75666735,10.6028657,4.776891465,0.183334854,0.825006841,3.289842096,0.387040247
48.06792467,2.971063314,14.73279849,13.15510466,10.7101217,5.492893686,0.22461647,0.796367486,3.348827378,0.500282139
49.37322972,2.950833815,15.11922068,13.31038389,8.457028873,4.644267655,0.243367737,1.216838687,4.177812825,0.50701612
49.60598386,3.164397253,14.91932166,13.16163692,8.610811756,4.533607603,0.243415173,1.115652878,4.077204153,0.567968738
49.59390823,2.936947802,15.01894341,13.31953022,8.304473095,4.435803922,0.243057749,1.458346495,4.121854329,0.567134748
49.20028893,3.61159839,16.71654112,11.43328862,8.84325663,4.674440202,0.227014756,1.052522959,4.241048395,0.0
48.63538792,2.759889604,13.72789533,11.70397629,10.93734028,9.056526628,0.204436267,0.705305121,2.269242564,0.0
48.41457158,3.683940482,17.0343766,12.56028733,7.952796306,5.500256542,0.205233453,0.985120575,3.663417137,0.0
48.84863371,3.735543957,16.93787739,12.40405281,8.320540375,5.025074199,0.20468734,1.074608536,3.448981681,0.0
50.26672138,3.744357817,16.13664341,12.70004103,7.416906032,4.667624128,0.194911777,1.07714403,3.79565039,0.0
46.9667319,4.552477083,16.65465032,12.28756824,10.3924194,4.779070965,0.195694716,0.906375528,3.265011845,0.0
